name,status,detail,full_sessions,full_years,full_cagr,full_annualized_volatility,full_sharpe,full_max_drawdown,full_calmar,full_annual_cost_drag,full_annual_contract_turnover,full_average_markets_held,train_sessions,train_years,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_calmar,train_annual_cost_drag,train_annual_contract_turnover,train_average_markets_held,test_sessions,test_years,test_cagr,test_annualized_volatility,test_sharpe,test_max_drawdown,test_calmar,test_annual_cost_drag,test_annual_contract_turnover,test_average_markets_held,param_trend_lookback,param_basis_weight,param_basis_roll_window,param_basis_lookback,param_signal_norm_window,param_signal_cap,param_vol_span,param_risk_managed_window,param_risk_managed_cap,param_fast_vol_span,param_slow_vol_span,param_shock_start,param_shock_full,param_shock_floor,param_vol_decay,param_portfolio_vol_window,param_no_trade_buffer,note
search:0186,completed,,6523.0,25.00530469482604,0.13346024230589415,0.0786587550896641,1.5782061255017246,-0.11067057046980489,1.205923505583692,0.010223163161969556,5152.599561883899,45.789667330982674,3915.0,15.00646830530401,0.15741002511378288,0.07890747012912876,1.8294221742692955,-0.07940692456611687,1.9823211385389699,0.012317170698203261,3251.978403614458,38.490421455938694,2608.0,9.99883638952203,0.09844270451922088,0.07826011598658443,1.1984834724645537,-0.11067057046980455,0.8895111329174911,0.00707974310661873,8010.111346944368,56.74693251533742,252,0.4,252,189,189,1.5,80,252,1.5,10,120,1.35,2.25,0.75,0.92,126,0.4,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0105,completed,,6523.0,25.00530469482604,0.12700820703196225,0.0788435394933426,1.504716717281171,-0.11052004081927236,1.1491871165669594,0.011261255091005649,5460.915437842278,47.19009658132761,3915.0,15.00646830530401,0.15871750517034044,0.07996448730173117,1.8199238893774439,-0.081044383449967,1.9584022780347903,0.013790098473812011,3725.76686746988,40.29833971902937,2608.0,9.99883638952203,0.08103920767279926,0.07707559220901633,1.0154722436159889,-0.11052004081927114,0.7332535083417073,0.0074650810711870495,8070.267757604824,57.53565950920245,252,0.3,189,252,189,1.0,80,21,1.0,40,90,1.2,2.0,0.6,0.9,252,0.15,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0154,completed,,6523.0,25.00530469482604,0.1189364672134916,0.07561100104590436,1.4738717439043847,-0.09889930552683268,1.202601641941991,0.010448220453097503,4240.653446878423,46.56645715161736,3915.0,15.00646830530401,0.1411387610547361,0.07589747900047691,1.7186177258473474,-0.09889930552683268,1.4270955726422498,0.012679743488571437,2952.343537787514,39.66257982120051,2608.0,9.99883638952203,0.08642280890313825,0.07515765393944553,1.1033116137171708,-0.0922760505203225,0.9365681389246805,0.007098368963879541,6178.193496848452,56.93021472392638,252,0.4,126,504,189,2.5,100,21,1.5,10,90,1.2,2.5,0.9,0.96,252,0.1,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0181,completed,,6523.0,25.00530469482604,0.11412497680844513,0.07536075227559282,1.4232599656262097,-0.1323983323496586,0.8619819810648802,0.010280667444088953,4329.103739047097,33.99202820787981,3915.0,15.00646830530401,0.14789237891894924,0.07571521706677713,1.797907875638999,-0.1323983323496586,1.11702599492244,0.012524236292893131,3269.3137541073384,28.75300127713921,2608.0,9.99883638952203,0.0653010749474856,0.07475693323179251,0.8550132182921981,-0.10697635474211775,0.6104253141257566,0.006912733378495258,5923.654807481502,41.85659509202454,273,0.5,189,189,126,1.5,100,252,1.0,10,120,1.9,2.5,0.5,0.96,42,0.0,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0292,completed,,6523.0,25.00530469482604,0.12151927184940514,0.08024720942163925,1.4209999401613964,-0.1458946894767036,0.8329245724109053,0.011046786973908316,4731.430554216868,43.79242679748582,3915.0,15.00646830530401,0.14736628533711538,0.08086183650773675,1.6829782558941024,-0.12064577078435568,1.22147908193583,0.013559176725166848,3312.518781489595,37.53154533844189,2608.0,9.99883638952203,0.08381609676226542,0.07928535253737055,1.0206142143652963,-0.14589468947670337,0.5744972422430035,0.007275312328134866,6865.437948753083,53.1909509202454,231,0.5,189,504,378,3.0,100,189,2.0,30,252,1.9,2.0,0.9,0.9,21,0.25,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0279,completed,,6523.0,25.00530469482604,0.11844850906905946,0.07844807399926088,1.4179826907617923,-0.09998486669641937,1.1846643695460495,0.011472704528238235,4657.06190060241,44.67284991568297,3915.0,15.00646830530401,0.14084619134890053,0.07900036638382957,1.6510197536660174,-0.09998486669641937,1.4086750925672282,0.014006089654801606,3188.5043510405258,38.56653895274585,2608.0,9.99883638952203,0.08565607842232303,0.0775913473136498,1.0623117693565995,-0.0899037185424072,0.9527534545962015,0.0076697126683856285,6865.538042614415,53.83934049079755,252,0.5,252,189,504,2.5,30,21,2.0,40,252,1.9,2.5,0.75,0.94,63,0.2,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0029,completed,,6523.0,25.00530469482604,0.11256336257929256,0.07524630489143619,1.4072947786883792,-0.1358301960348438,0.8287064722369779,0.010731453082998985,4155.963592278204,44.57182278092902,3915.0,15.00646830530401,0.13696965276752882,0.07609797556012914,1.667831401841156,-0.11704220546928679,1.1702586448908912,0.01313218011399511,2937.2084433187297,38.21507024265645,2608.0,9.99883638952203,0.07691353311238558,0.07391937043757925,1.005585607803069,-0.13583019603484303,0.5662476780395413,0.007127600963999818,5989.016098931214,54.114263803680984,231,0.6,315,378,504,2.0,60,84,2.5,30,252,1.5,2.25,0.5,0.97,63,0.0,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0130,completed,,6523.0,25.00530469482604,0.10791047057972403,0.07388963850794307,1.3769557812377307,-0.10325383515474529,1.045098910059853,0.009156037622033764,3131.2443548740416,45.55771884102407,3915.0,15.00646830530401,0.1256503180732178,0.07323532836264493,1.5980625878796049,-0.0970222101146122,1.2950675718970661,0.011054011885854548,2251.7286801752466,38.692975734355045,2608.0,9.99883638952203,0.08180940360496369,0.07485195257743345,1.052575940685488,-0.10325383515474662,0.7923134620845401,0.006306892973698501,4454.176829268293,55.862730061349694,252,0.5,252,252,504,4.0,120,252,3.0,40,90,1.0,2.25,0.75,0.98,189,0.2,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0079,completed,,6523.0,25.00530469482604,0.11244556343332546,0.07783670668081313,1.3617104521014063,-0.15875864326577205,0.7082799469700962,0.010670663126760635,4217.290728368017,46.78108232408401,3915.0,15.00646830530401,0.14020994588550195,0.07762893526964815,1.6718745186220887,-0.11271831861691373,1.2438967117849027,0.013089720360843856,3097.4937609529024,39.79259259259259,2608.0,9.99883638952203,0.0720397498330625,0.07810847044122252,0.8996657179232512,-0.15875864326576938,0.4537689939341733,0.007039294617774511,5901.834345711154,57.27185582822086,231,0.3,252,252,252,4.0,100,189,1.5,15,90,1.2,2.25,0.75,0.94,189,0.1,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0204,completed,,6523.0,25.00530469482604,0.10531317282339692,0.07353852252234894,1.3523426598844253,-0.10088580338371533,1.043884959936754,0.009853163007655916,3486.125649233297,46.96995247585467,3915.0,15.00646830530401,0.13162945185914476,0.07351294850490185,1.6619460631123704,-0.09533746692541001,1.3806686510994552,0.011995622988407366,2613.1707379518075,40.358620689655176,2608.0,9.99883638952203,0.06696115253278223,0.07353867891658997,0.8884471379229197,-0.10088580338371511,0.6637321633659214,0.006637008550354567,4799.5006508632505,56.89455521472393,252,0.2,252,63,126,1.5,60,21,1.0,15,120,1.75,2.5,0.6,0.98,21,0.1,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0217,completed,,6523.0,25.00530469482604,0.1099943334815614,0.07700709873063401,1.3478493407979315,-0.10981496668706991,1.0016333547229734,0.010902382632144129,4044.9106700438115,46.52567836884869,3915.0,15.00646830530401,0.13563660817219758,0.07692504621181963,1.635971717342583,-0.09719749772484965,1.3954742801729612,0.013250075720797906,2927.8073493975903,39.78671775223499,2608.0,9.99883638952203,0.07259231408512345,0.07709787113242149,0.916870325921106,-0.10981496668706958,0.6610420808302354,0.00737814243196026,5725.268774321732,56.64187116564417,252,0.4,189,189,189,3.0,30,84,2.5,30,252,1.9,2.25,0.5,0.96,189,0.05,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0197,completed,,6523.0,25.00530469482604,0.10798285807892438,0.07630334277407784,1.3365912813748426,-0.15964134498494853,0.6764090974622228,0.010467733731237888,3685.188812431544,44.94634370688333,3915.0,15.00646830530401,0.13433084852877508,0.07661301783992783,1.6278090616035104,-0.11288901985663291,1.1899372383547393,0.012775019279594957,2738.118610350493,38.582375478927204,2608.0,9.99883638952203,0.06958327764047567,0.07580000650359457,0.8954190394518988,-0.15964134498494875,0.43587253444297963,0.007004151322565364,5109.991808714716,54.49961656441718,210,0.6,315,252,378,4.0,100,63,2.5,15,120,1.5,2.0,1.0,0.96,189,0.15,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0123,completed,,6523.0,25.00530469482604,0.10666561664450414,0.07563037688824996,1.3326111048064662,-0.11485070430161148,0.9287328039746945,0.009545162105027843,3339.068537513691,46.88210945883796,3915.0,15.00646830530401,0.12999708035074065,0.07544799994614515,1.602726850269532,-0.09981394085827444,1.3023940266552863,0.011506077938738861,2409.6803929353778,40.06334610472541,2608.0,9.99883638952203,0.07255017235539585,0.07587800121792596,0.9298839297663166,-0.1148507043016116,0.6316911402203549,0.006601532699744629,4737.042081392162,57.1180981595092,252,0.2,315,504,252,1.5,80,63,1.0,30,60,1.35,2.25,0.75,0.98,126,0.05,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0014,completed,,6523.0,25.00530469482604,0.10293168048206702,0.07353433029682975,1.3240482278000452,-0.1613040038886565,0.6381222908336348,0.011129194286214625,3713.232075575027,44.02958761306147,3915.0,15.00646830530401,0.12710346717686094,0.07340842540579044,1.6114479424264312,-0.086812959583221,1.4641070617459655,0.013501462855820956,2891.2030900876234,37.944061302681995,2608.0,9.99883638952203,0.06762347842951622,0.07369272740056554,0.894832374717209,-0.16130400388865684,0.41923000545104017,0.007568062595260336,4950.342099890381,53.1648773006135,210,0.6,378,189,126,2.0,30,84,2.0,10,120,1.2,2.5,0.9,0.98,63,0.3,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
search:0072,completed,,6523.0,25.00530469482604,0.10920271427348305,0.07826617698597073,1.318585728767012,-0.15693589705317834,0.6958428015769985,0.009946899791859962,3790.5610736582694,35.288364249578414,3915.0,15.00646830530401,0.13889315940602032,0.07949193271603741,1.6204615585263904,-0.1426950886471937,0.9733562712128553,0.0121606481392181,2908.2050684556407,31.260791826309067,2608.0,9.99883638952203,0.06608886807101388,0.07634033779220323,0.84819857225365,-0.15693589705317845,0.42112014721921376,0.006623730781159383,5118.299599205262,41.33435582822086,294,0.5,189,378,189,1.5,80,84,1.5,30,180,1.0,2.5,0.6,0.92,21,0.35,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
