pool,configurations,selected,selected_train_sharpe,frozen_train_sharpe,in_sample_gain,selected_test_sharpe,frozen_test_sharpe,out_of_sample_gain,gain_decay,share_beating_frozen_in_sample,share_beating_frozen_out_of_sample,share_of_in_sample_winners_that_win_later,train_test_rank_correlation,frozen_full_sharpe_percentile,frozen_test_sharpe_percentile,note
one-parameter profiles,108,profile:target_vol=0.04,1.9826675265249503,1.8218300400377898,0.16083748648716045,1.264848336526148,1.2353633553830865,0.02948498114306153,0.13135250534409892,0.5092592592592593,0.35185185185185186,0.6181818181818182,0.732578081826324,0.5462962962962963,0.6481481481481481,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
joint random search,300,search:0186,1.8294221742692955,1.8218300400377898,0.007592134231505732,1.1984834724645537,1.2353633553830865,-0.036879882918532836,0.04447201715003857,0.0033333333333333335,0.0,0.0,0.5333823709152323,1.0,1.0,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
pre-registered candidates,7,candidate:ensemble_63_126_252,1.6585063430629723,1.8218300400377898,-0.16332369697481752,1.037601023491767,1.2353633553830865,-0.19776233189131953,0.03443863491650201,0.0,0.0,,0.7500000000000002,1.0,1.0,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
everything,415,profile:target_vol=0.04,1.9826675265249503,1.8218300400377898,0.16083748648716045,1.264848336526148,1.2353633553830865,0.02948498114306153,0.13135250534409892,0.13493975903614458,0.09156626506024096,0.6071428571428571,0.7777710992457103,0.8819277108433735,0.908433734939759,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
