parameter,value,name,status,detail,full_sessions,full_years,full_cagr,full_annualized_volatility,full_sharpe,full_max_drawdown,full_calmar,full_annual_cost_drag,full_annual_contract_turnover,full_average_markets_held,train_sessions,train_years,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_calmar,train_annual_cost_drag,train_annual_contract_turnover,train_average_markets_held,test_sessions,test_years,test_cagr,test_annualized_volatility,test_sharpe,test_max_drawdown,test_calmar,test_annual_cost_drag,test_annual_contract_turnover,test_average_markets_held,is_frozen,note
basis_lookback,63.0,profile:basis_lookback=63,completed,,6523.0,25.00530469482604,0.1235095349309927,0.07642734227277001,1.5105190811444187,-0.11995372945101368,1.0296431423704182,0.011044961196861283,4874.807237677985,42.65644642035873,3915.0,15.00646830530401,0.14886997367338473,0.07676110252916035,1.7851578017948584,-0.11995372945101368,1.2410616523113587,0.013351470836874553,3258.1791251369114,36.855427841634736,2608.0,9.99883638952203,0.0864947303602035,0.07589251206994642,1.0941994540975357,-0.08858325413374857,0.9764230407432122,0.007582543543237072,7305.750844751987,51.3646472392638,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_lookback,126.0,profile:basis_lookback=126,completed,,6523.0,25.00530469482604,0.12333360840938368,0.077472749105281,1.4892251422982916,-0.11444663063403082,1.0776517205104184,0.01071139187585708,4682.344842552026,41.26536869538556,3915.0,15.00646830530401,0.148884133331469,0.077784582291187,1.762846231800654,-0.11444663063403082,1.3009044696786218,0.012974666725978802,3075.8912472617744,35.82298850574713,2608.0,9.99883638952203,0.08604922518716984,0.0769713774674931,1.0747827806265418,-0.11056856132819859,0.7782431475412938,0.00731387614034077,7097.855894765689,49.435199386503065,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_lookback,189.0,profile:basis_lookback=189,completed,,6523.0,25.00530469482604,0.13204572831646844,0.07767090905616938,1.5817334537342755,-0.10014758530210754,1.318511354199267,0.01067903013105024,5195.52455668127,40.619346926260924,3915.0,15.00646830530401,0.15614430187694306,0.07792407491710203,1.837931568381296,-0.09298532778450663,1.679235913850917,0.012974129904270552,3324.1201314348305,35.494508301404856,2608.0,9.99883638952203,0.0968174371336199,0.0772642417714683,1.1944022846632014,-0.10014758530210899,0.9667475939789937,0.00723374040246223,8009.210502192382,48.3125,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_lookback,252.0,baseline,completed,,6523.0,25.00530469482604,0.13189524685750764,0.07718572567461184,1.5895266624546427,-0.11847122445591607,1.1133104048113114,0.010421436303130022,4987.660369386637,39.82032806990649,3915.0,15.00646830530401,0.15417700691552794,0.07769974768818137,1.8218300400377898,-0.099034027539873,1.556808409649434,0.012713123589080296,3148.032975082147,34.85134099616858,2608.0,9.99883638952203,0.09925894552865455,0.07638774246481511,1.2353633553830865,-0.11847122445591673,0.8378316843141004,0.006981269230854209,7753.470686489449,47.2795245398773,True,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_lookback,315.0,profile:basis_lookback=315,completed,,6523.0,25.00530469482604,0.1276860801125077,0.07794621040524026,1.528582026600014,-0.1115600016505014,1.1445507191056394,0.010268042822627478,4673.183776560789,38.95308906944658,3915.0,15.00646830530401,0.1517887746003932,0.07877350563571565,1.7726551637000383,-0.10019499711795365,1.514933669010452,0.012514109998101047,3045.7544071741513,34.14942528735632,2608.0,9.99883638952203,0.09245546581639452,0.07666178702399842,1.1529469997144355,-0.11156000165050184,0.8287510258922501,0.006896358393187672,7120.176825842696,46.16411042944785,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_lookback,378.0,profile:basis_lookback=378,completed,,6523.0,25.00530469482604,0.12909378563023566,0.07811585334892808,1.540861666763041,-0.10624581961619306,1.2150481411558551,0.010312358883063,4744.23204381161,38.79855894527058,3915.0,15.00646830530401,0.15318039307045894,0.07910259360938691,1.78035309327121,-0.09409870355330918,1.6278693253587555,0.01258489430163586,3122.0966237677985,34.21200510855683,2608.0,9.99883638952203,0.09388492592673159,0.07658508960345958,1.1705274328481339,-0.10624581961619328,0.8836575995731909,0.0069009416423755935,7183.336052343107,45.68366564417178,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_lookback,504.0,profile:basis_lookback=504,completed,,6523.0,25.00530469482604,0.1209645346167545,0.0790386600787006,1.4354321864657782,-0.11328139819696126,1.0678234603569656,0.010193659497933844,4124.43992415115,38.161888701517704,3915.0,15.00646830530401,0.1441994358845875,0.07960737548590713,1.6746478297442229,-0.11122181825825894,1.2965031334926926,0.012448406814608654,2813.994105969332,33.77624521072797,2608.0,9.99883638952203,0.08697553181686546,0.07815478017534741,1.0702130929517188,-0.11328139819696059,0.7677830005738671,0.006808944871867176,6095.115591942998,44.74539877300614,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_roll_window,63.0,profile:basis_roll_window=63,completed,,6523.0,25.00530469482604,0.1235095349309927,0.07642734227277001,1.5105190811444187,-0.11995372945101368,1.0296431423704182,0.011044961196861283,4874.807237677985,42.65644642035873,3915.0,15.00646830530401,0.14886997367338473,0.07676110252916035,1.7851578017948584,-0.11995372945101368,1.2410616523113587,0.013351470836874553,3258.1791251369114,36.855427841634736,2608.0,9.99883638952203,0.0864947303602035,0.07589251206994642,1.0941994540975357,-0.08858325413374857,0.9764230407432122,0.007582543543237072,7305.750844751987,51.3646472392638,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_roll_window,126.0,profile:basis_roll_window=126,completed,,6523.0,25.00530469482604,0.12333360840938368,0.077472749105281,1.4892251422982916,-0.11444663063403082,1.0776517205104184,0.01071139187585708,4682.344842552026,41.26536869538556,3915.0,15.00646830530401,0.148884133331469,0.077784582291187,1.762846231800654,-0.11444663063403082,1.3009044696786218,0.012974666725978802,3075.8912472617744,35.82298850574713,2608.0,9.99883638952203,0.08604922518716984,0.0769713774674931,1.0747827806265418,-0.11056856132819859,0.7782431475412938,0.00731387614034077,7097.855894765689,49.435199386503065,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_roll_window,189.0,profile:basis_roll_window=189,completed,,6523.0,25.00530469482604,0.13204572831646844,0.07767090905616938,1.5817334537342755,-0.10014758530210754,1.318511354199267,0.01067903013105024,5195.52455668127,40.619346926260924,3915.0,15.00646830530401,0.15614430187694306,0.07792407491710203,1.837931568381296,-0.09298532778450663,1.679235913850917,0.012974129904270552,3324.1201314348305,35.494508301404856,2608.0,9.99883638952203,0.0968174371336199,0.0772642417714683,1.1944022846632014,-0.10014758530210899,0.9667475939789937,0.00723374040246223,8009.210502192382,48.3125,False,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
