member,configuration,annualized_sharpe,per_session_sharpe,declared_trials,trial_sharpe_variance_per_session,sessions,status,deflated_probability,reason,family,note
search maximum,profile:target_vol=0.04,1.698439255951237,0.1069916163856322,416,0.00043508199628241093,6523,ESTIMATED,0.9998164402519082,estimated over a declared family of 416 trials,optimality_search_family_1990_2014: every joint draw in this study plus the frozen baseline; still a lower bound on the true search that produced the lineage,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
frozen baseline,baseline,1.5895266624546427,0.10013076788479747,416,0.00043508199628241093,6523,ESTIMATED,0.9987480942805271,estimated over a declared family of 416 trials,optimality_search_family_1990_2014: every joint draw in this study plus the frozen baseline; still a lower bound on the true search that produced the lineage,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
