book,start,end,sessions,cagr,annualized_volatility,sharpe,max_drawdown,reselections,years_frozen_was_chosen,note
annually re-optimised,1996-01-01,2014-12-31,4958,0.08832884758778792,0.05207519568036486,1.5958259817927642,-0.07029374501916896,2.0,0.0,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
frozen baseline,1996-01-01,2014-12-31,4958,0.13082666909000462,0.07622850479328147,1.595935556835635,-0.11847122445591662,,,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
