name,status,detail,full_sessions,full_years,full_cagr,full_annualized_volatility,full_sharpe,full_max_drawdown,full_calmar,full_annual_cost_drag,full_annual_contract_turnover,full_average_markets_held,train_sessions,train_years,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_calmar,train_annual_cost_drag,train_annual_contract_turnover,train_average_markets_held,test_sessions,test_years,test_cagr,test_annualized_volatility,test_sharpe,test_max_drawdown,test_calmar,test_annual_cost_drag,test_annual_contract_turnover,test_average_markets_held
baseline,completed,,6523.0,25.00530469482604,0.13189524685750764,0.07718572567461184,1.5895266624546427,-0.11847122445591607,1.1133104048113114,0.010421436303130022,4987.660369386637,39.82032806990649,3915.0,15.00646830530401,0.15417700691552794,0.07769974768818137,1.8218300400377898,-0.099034027539873,1.556808409649434,0.012713123589080296,3148.032975082147,34.85134099616858,2608.0,9.99883638952203,0.09925894552865455,0.07638774246481511,1.2353633553830865,-0.11847122445591673,0.8378316843141004,0.006981269230854209,7753.470686489449,47.2795245398773
profile:trend_lookback=63,completed,,6523.0,25.00530469482604,0.08644952128554872,0.08037806672176522,1.0368301801026754,-0.15202663081984047,0.5686472219988611,0.011709227088600298,3060.6361388280393,38.304001226429556,3915.0,15.00646830530401,0.10681261958396293,0.08030773892683507,1.2609709148691572,-0.090598844245245,1.1789622756646687,0.014400013008777551,2493.6901684008762,34.019157088122604,2608.0,9.99883638952203,0.05658904663189923,0.08046917241602528,0.7012226588330799,-0.1520266308198409,0.37223114349590536,0.0076699529791317625,3914.2705412441765,44.736196319018404
profile:trend_lookback=84,completed,,6523.0,25.00530469482604,0.08457099595259643,0.07903983044966027,1.0319013669854062,-0.13080476145518005,0.6465437114961177,0.011225921723804821,2734.9982472617744,38.14885788747509,3915.0,15.00646830530401,0.1010898432958518,0.07934269713727611,1.2122495163724214,-0.11433850231197173,0.8841277544464325,0.013881298285331236,2270.997588992333,33.78492975734355,2608.0,9.99883638952203,0.0602430584182998,0.07857790349624626,0.7586322759887958,-0.13080476145517994,0.46055707566075105,0.007239802383936757,3433.820006851192,44.699769938650306
profile:trend_lookback=105,completed,,6523.0,25.00530469482604,0.09792323569830241,0.07753311072808418,1.2029283620560347,-0.15224671587384664,0.6431878358508746,0.011037745723129091,3079.678354600219,39.03035413153457,3915.0,15.00646830530401,0.10527619977841862,0.07685232183507668,1.2967134384134222,-0.10549819405368432,0.9978957528395914,0.013684530703107756,2421.0817196056955,34.437292464878674,2608.0,9.99883638952203,0.08697944586527706,0.07855493437536357,1.065196460716789,-0.15224671587384841,0.571305892321173,0.007064523638536887,4070.917434228556,45.925230061349694
profile:trend_lookback=126,completed,,6523.0,25.00530469482604,0.08446749055877056,0.07732558910851091,1.0518568457748443,-0.15451247251580036,0.5466710174489827,0.010813759028856515,2644.827754928806,38.48995860800245,3915.0,15.00646830530401,0.09864934636865752,0.07723968402046583,1.2153742632939761,-0.12097958458228375,0.8154214341971193,0.013367295753052464,2235.926841456736,34.325415070242656,2608.0,9.99883638952203,0.0635258644349248,0.07745405932043507,0.8070786169932178,-0.15451247251579991,0.41113745318151496,0.006980516592036286,3260.8578144697176,44.74156441717791
profile:trend_lookback=147,completed,,6523.0,25.00530469482604,0.08858642168754605,0.07702659377745692,1.1031969139977742,-0.19080601101099337,0.4642747952130402,0.010686114787033043,2654.428872124863,38.541008738310595,3915.0,15.00646830530401,0.10238098397225204,0.0770353292098365,1.2609208065832167,-0.1291606457602149,0.7926639215037762,0.013245361651026388,2137.4487157721796,34.10063856960409,2608.0,9.99883638952203,0.06820650965867792,0.07701394400107112,0.8663572604646973,-0.1908060110109937,0.35746520404301124,0.006844300572104388,3432.7189743765416,45.206671779141104
profile:trend_lookback=168,completed,,6523.0,25.00530469482604,0.08248358972454617,0.07701357087768579,1.032828521660557,-0.1501038143342901,0.5495102845344777,0.010644565201380228,2655.6690164293536,38.55725892994021,3915.0,15.00646830530401,0.10394387529026883,0.07776458395059455,1.2674247737437057,-0.1501038143342901,0.6924799063318914,0.01311894161732783,2259.3962390470974,34.348659003831415,2608.0,9.99883638952203,0.051055884506761684,0.07585154620347645,0.6722541067862579,-0.13118734110871444,0.3891830116783286,0.0069301542855693165,3252.750211701836,44.875
profile:trend_lookback=189,completed,,6523.0,25.00530469482604,0.09660927538712372,0.07766002049982115,1.186196906376179,-0.14902976150064817,0.6482549150875715,0.01060201450542676,3215.1741210295727,39.173693086003375,3915.0,15.00646830530401,0.12033629456793427,0.07783238983032813,1.4493906870594933,-0.14902976150064817,0.807464853705821,0.012980853800198859,2436.016790799562,34.42809706257982,2608.0,9.99883638952203,0.06193893003752504,0.07737423937873632,0.7891784134705376,-0.134842710833181,0.4593420708825116,0.007031019168374308,4387.514317621266,46.29754601226994
profile:trend_lookback=210,completed,,6523.0,25.00530469482604,0.11631342080833962,0.07744347580862822,1.411515620512265,-0.12767529031558988,0.911009644237614,0.010826463307383793,4493.242838444688,40.003219377587,3915.0,15.00646830530401,0.14891139229964412,0.07777801940222727,1.7632718035880142,-0.11505639707804483,1.29424696132832,0.013214592536802431,3230.709262048193,35.135376756066414,2608.0,9.99883638952203,0.06911714140817082,0.0768783799443823,0.8784523351345069,-0.12767529031558866,0.5413509633487154,0.007241522382087024,6392.294266237325,47.31058282208589
profile:trend_lookback=231,completed,,6523.0,25.00530469482604,0.12820949167759932,0.07721553461405246,1.5481305961614429,-0.13611814915734144,0.9418985820134803,0.010703937588886372,5234.1690533954,40.04813736011038,3915.0,15.00646830530401,0.15644261284266459,0.07756231284302618,1.8493730670292976,-0.10980890637943774,1.4246805473327182,0.013089952380485055,3484.605472343921,35.026053639846744,2608.0,9.99883638952203,0.08712485597346054,0.07665134142375753,1.091427161093107,-0.13611814915734133,0.6400678859712631,0.0071221707525716315,7864.975248013155,47.58703987730061
