Comparison,Sessions,Method,Annualized mean differential,Standard error (annualized),t statistic,Confidence lower (95% one-sided),Confidence upper (95% one-sided),Tracking error (annualized),Return correlation,Minimum detectable Sharpe effect,Selection adjusted,Permitted use,Limitation
etf_regime_allocation minus sixty_forty_rebalanced_monthly,2516,Newey-West HAC (21 lags),-0.0592586070596643,0.017016501285756727,-3.482420155855738,-0.08725075167473412,-0.03126646244459448,0.06424492429784925,0.7147459692254072,0.37165542332265705,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation minus sixty_forty_buy_and_hold,2516,Newey-West HAC (21 lags),-0.051680292615472787,0.014972426452277745,-3.4516978781091754,-0.07630993412946968,-0.027050651101475892,0.05557856938428764,0.7557531958800282,0.3482649387718618,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation minus equal_weight_panel,2516,Newey-West HAC (21 lags),-0.03241528676352345,0.016900051336785148,-1.9180584790868285,-0.060215871212535015,-0.004614702314511875,0.06556186836822146,0.7786686735435694,0.3514377565411761,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion,survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
