statistic,method,band_status,band_basis,probe_variants,probes_inside_tolerance,lowest_risk_budget_volatility,highest_risk_budget_volatility,lowest_achieved_annualized_volatility,highest_achieved_annualized_volatility,widest_volatility_match_error,tolerance,lowest_observed,highest_observed,solver_jitter_band,selection_adjusted,permitted_use
max_drawdown,range across re-runs of the unchanged incumbent configuration at risk budgets the match tolerance accepts,estimated,5 in-tolerance runs of the canonical configuration spanning residuals up to 4.51e-04 of the 5.00e-04 the solver accepts; a span narrower than the tolerance understates the band,baseline; baseline_match_control_minus1.00tol; baseline_match_control_minus0.50tol; baseline_match_control_plus0.50tol; baseline_match_control_plus1.00tol,5,0.06954654828086287,0.07045345171913714,0.07678051106368093,0.07763663241579771,0.0004509067411858775,0.0005,-0.12177722868784246,-0.11630317074456298,0.005474057943279487,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
max_drawdown_over_annualized_volatility,range across re-runs of the unchanged incumbent configuration at risk budgets the match tolerance accepts,estimated,5 in-tolerance runs of the canonical configuration spanning residuals up to 4.51e-04 of the 5.00e-04 the solver accepts; a span narrower than the tolerance understates the band,baseline; baseline_match_control_minus1.00tol; baseline_match_control_minus0.50tol; baseline_match_control_plus0.50tol; baseline_match_control_plus1.00tol,5,0.06954654828086287,0.07045345171913714,0.07678051106368093,0.07763663241579771,0.0004509067411858775,0.0005,1.5147485883247427,1.5735389952184697,0.058790406893727054,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
ulcer_index,range across re-runs of the unchanged incumbent configuration at risk budgets the match tolerance accepts,estimated,5 in-tolerance runs of the canonical configuration spanning residuals up to 4.51e-04 of the 5.00e-04 the solver accepts; a span narrower than the tolerance understates the band,baseline; baseline_match_control_minus1.00tol; baseline_match_control_minus0.50tol; baseline_match_control_plus0.50tol; baseline_match_control_plus1.00tol,5,0.06954654828086287,0.07045345171913714,0.07678051106368093,0.07763663241579771,0.0004509067411858775,0.0005,0.03228928255628869,0.03255209297900071,0.0002628104227120204,False,descriptive bound sensitivity on reused history; not selection adjusted and does not license a configuration change
