variant,lever,evaluation_mode,assumption,validation_status,run_status,run_detail,ledger_reconciliation,start,end,years,cagr,annualized_volatility,sharpe,hac_sharpe,sortino,calmar,max_drawdown,max_drawdown_duration_sessions,episode_profit_factor_usd,episode_expectancy_bps_nav,annual_cost_drag,annual_fixed_cost_drag,annual_impact_cost_drag,annual_rebalance_turnover_contracts,annual_roll_turnover_contracts,roll_share_of_turnover,average_risk_scalar,average_markets_held,peak_gross_notional_multiple,peak_static_margin_fraction,portfolio_limit_binding_decision_days,peak_order_participation,peak_rebalance_participation,p999_rebalance_participation,delta_cagr,delta_sharpe,delta_annualized_volatility,delta_max_drawdown,delta_annual_cost_drag,delta_peak_gross_notional_multiple
baseline,baseline,baseline,"Canonical configuration: risk-scalar clip [0.25, 2], signal_cap 2, risk_managed_cap 2, shock_floor 0.75, gross-notional multiple 5.0.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13189524685750764,0.07718572567461184,1.5895266624546427,1.4889016291562005,2.4014239410781735,1.1133104048113114,-0.11847122445591607,467,1.8498924837444668,16.497485683005603,0.010421436303130022,0.00948913025155786,0.000932306051572164,1808.2504099123767,3179.4099594742606,0.6374551841959624,0.7964111965450026,39.82032806990649,5.1117169008057015,0.5259920430451536,24,0.01999375195251484,0.019863438857852266,0.017411047759432162,0.0,0.0,0.0,0.0,0.0,0.0
risk_scalar_max1.00_min0.00,risk_scalar_bounds,as_is,"EWMA volatility-target multiplier clipped to [0, 1] with every other control unchanged.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.12942890762270998,0.07463748995100963,1.6129638432970943,1.4995130745705145,2.433894802428647,1.1493448323892395,-0.11261103193343225,459,1.8697612160366521,16.085222909770945,0.009854682968631432,0.008998825592034847,0.0008558573765965873,1630.269699890471,2939.142001642935,0.6432210957608867,0.7562632165548716,39.639889621339876,5.153849848738706,0.40208519877884474,20,0.01999375195251484,0.019863438857852266,0.016238773274918208,-0.0024663392347976654,0.02343718084245161,-0.002548235723602202,0.00586019252248382,-0.00056675333449859,0.042132947933004594
risk_scalar_max1.00_min0.10,risk_scalar_bounds,as_is,"EWMA volatility-target multiplier clipped to [0.1, 1] with every other control unchanged.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.12942890762270998,0.07463748995100963,1.6129638432970943,1.4995130745705145,2.433894802428647,1.1493448323892395,-0.11261103193343225,459,1.8697612160366521,16.085222909770945,0.009854682968631432,0.008998825592034847,0.0008558573765965873,1630.269699890471,2939.142001642935,0.6432210957608867,0.7562632165548716,39.639889621339876,5.153849848738706,0.40208519877884474,20,0.01999375195251484,0.019863438857852266,0.016238773274918208,-0.0024663392347976654,0.02343718084245161,-0.002548235723602202,0.00586019252248382,-0.00056675333449859,0.042132947933004594
risk_scalar_max1.00_min0.25,risk_scalar_bounds,as_is,"EWMA volatility-target multiplier clipped to [0.25, 1] with every other control unchanged.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.12942890762270998,0.07463748995100963,1.6129638432970943,1.4995130745705145,2.433894802428647,1.1493448323892395,-0.11261103193343225,459,1.8697612160366521,16.085222909770945,0.009854682968631432,0.008998825592034847,0.0008558573765965873,1630.269699890471,2939.142001642935,0.6432210957608867,0.7562632165548716,39.639889621339876,5.153849848738706,0.40208519877884474,20,0.01999375195251484,0.019863438857852266,0.016238773274918208,-0.0024663392347976654,0.02343718084245161,-0.002548235723602202,0.00586019252248382,-0.00056675333449859,0.042132947933004594
risk_scalar_max1.25_min0.00,risk_scalar_bounds,as_is,"EWMA volatility-target multiplier clipped to [0, 1.25] with every other control unchanged.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13167049211443782,0.07688842091557042,1.5928820772373076,1.494475002617176,2.4024150331289964,1.112468753769537,-0.11835882281482502,471,1.8539228436837007,16.40303332415791,0.01033803840099278,0.009414160975751524,0.0009238774252412533,1784.6076588170865,3158.9275761226722,0.6390017317558709,0.7863506964141593,39.83305227655986,5.136933916899562,0.467452294479511,23,0.01999375195251484,0.019863438857852266,0.017753911141594324,-0.00022475474306982157,0.0033554147826648784,-0.0002973047590414113,0.00011240164109105333,-8.339790213724232e-05,0.025217016093860067
risk_scalar_max1.25_min0.10,risk_scalar_bounds,as_is,"EWMA volatility-target multiplier clipped to [0.1, 1.25] with every other control unchanged.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13167049211443782,0.07688842091557042,1.5928820772373076,1.494475002617176,2.4024150331289964,1.112468753769537,-0.11835882281482502,471,1.8539228436837007,16.40303332415791,0.01033803840099278,0.009414160975751524,0.0009238774252412533,1784.6076588170865,3158.9275761226722,0.6390017317558709,0.7863506964141593,39.83305227655986,5.136933916899562,0.467452294479511,23,0.01999375195251484,0.019863438857852266,0.017753911141594324,-0.00022475474306982157,0.0033554147826648784,-0.0002973047590414113,0.00011240164109105333,-8.339790213724232e-05,0.025217016093860067
risk_scalar_max1.25_min0.25,risk_scalar_bounds,as_is,"EWMA volatility-target multiplier clipped to [0.25, 1.25] with every other control unchanged.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13167049211443782,0.07688842091557042,1.5928820772373076,1.494475002617176,2.4024150331289964,1.112468753769537,-0.11835882281482502,471,1.8539228436837007,16.40303332415791,0.01033803840099278,0.009414160975751524,0.0009238774252412533,1784.6076588170865,3158.9275761226722,0.6390017317558709,0.7863506964141593,39.83305227655986,5.136933916899562,0.467452294479511,23,0.01999375195251484,0.019863438857852266,0.017753911141594324,-0.00022475474306982157,0.0033554147826648784,-0.0002973047590414113,0.00011240164109105333,-8.339790213724232e-05,0.025217016093860067
risk_scalar_max1.50_min0.00,risk_scalar_bounds,as_is,"EWMA volatility-target multiplier clipped to [0, 1.5] with every other control unchanged.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13344972588321236,0.07738096750587252,1.6028516284040553,1.5007663981500732,2.42378660746918,1.0989901538309148,-0.12142940991602758,462,1.8465754973407849,16.585956552250682,0.010440534637983266,0.009503697496381108,0.0009368371416021599,1828.9728211938664,3223.815126506024,0.6380269981394244,0.794116140333519,39.85282845316572,5.170599866741807,0.5259920430451536,24,0.01999375195251484,0.019863438857852266,0.01793459649984944,0.0015544790257047136,0.01332496594941257,0.00019524183126068406,-0.0029581854601115065,1.909833485324447e-05,0.05888296593610587
risk_scalar_max1.50_min0.10,risk_scalar_bounds,as_is,"EWMA volatility-target multiplier clipped to [0.1, 1.5] with every other control unchanged.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13344972588321236,0.07738096750587252,1.6028516284040553,1.5007663981500732,2.42378660746918,1.0989901538309148,-0.12142940991602758,462,1.8465754973407849,16.585956552250682,0.010440534637983266,0.009503697496381108,0.0009368371416021599,1828.9728211938664,3223.815126506024,0.6380269981394244,0.794116140333519,39.85282845316572,5.170599866741807,0.5259920430451536,24,0.01999375195251484,0.019863438857852266,0.01793459649984944,0.0015544790257047136,0.01332496594941257,0.00019524183126068406,-0.0029581854601115065,1.909833485324447e-05,0.05888296593610587
risk_scalar_max1.50_min0.25,risk_scalar_bounds,as_is,"EWMA volatility-target multiplier clipped to [0.25, 1.5] with every other control unchanged.",retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13344972588321236,0.07738096750587252,1.6028516284040553,1.5007663981500732,2.42378660746918,1.0989901538309148,-0.12142940991602758,462,1.8465754973407849,16.585956552250682,0.010440534637983266,0.009503697496381108,0.0009368371416021599,1828.9728211938664,3223.815126506024,0.6380269981394244,0.794116140333519,39.85282845316572,5.170599866741807,0.5259920430451536,24,0.01999375195251484,0.019863438857852266,0.01793459649984944,0.0015544790257047136,0.01332496594941257,0.00019524183126068406,-0.0029581854601115065,1.909833485324447e-05,0.05888296593610587
