month,baseline,risk_scalar_max1.00_min0.00,risk_scalar_max1.00_min0.10,risk_scalar_max1.00_min0.25,risk_scalar_max1.25_min0.00,risk_scalar_max1.25_min0.10,risk_scalar_max1.25_min0.25,risk_scalar_max1.50_min0.00,risk_scalar_max1.50_min0.10,risk_scalar_max1.50_min0.25,risk_scalar_max1.75_min0.00,risk_scalar_max1.75_min0.10,risk_scalar_max1.75_min0.25,risk_scalar_max2.00_min0.00,risk_scalar_max2.00_min0.10,signal_cap_1.00,signal_cap_1.50,risk_managed_cap_1.00,risk_managed_cap_1.50,shock_floor_0.25,shock_floor_0.50,max_gross_notional_multiple_3.00,max_gross_notional_multiple_4.00,baseline_match_control_minus1.00tol,baseline_match_control_minus0.50tol,baseline_match_control_plus0.50tol,baseline_match_control_plus1.00tol,baseline_risk_matched,risk_scalar_max1.00_min0.00_risk_matched,risk_scalar_max1.00_min0.10_risk_matched,risk_scalar_max1.00_min0.25_risk_matched,risk_scalar_max1.25_min0.00_risk_matched,risk_scalar_max1.25_min0.10_risk_matched,risk_scalar_max1.25_min0.25_risk_matched,risk_scalar_max1.50_min0.00_risk_matched,risk_scalar_max1.50_min0.10_risk_matched,risk_scalar_max1.50_min0.25_risk_matched,risk_scalar_max1.75_min0.00_risk_matched,risk_scalar_max1.75_min0.10_risk_matched,risk_scalar_max1.75_min0.25_risk_matched,risk_scalar_max2.00_min0.00_risk_matched,risk_scalar_max2.00_min0.10_risk_matched,signal_cap_1.00_risk_matched,signal_cap_1.50_risk_matched,risk_managed_cap_1.00_risk_matched,risk_managed_cap_1.50_risk_matched,shock_floor_0.25_risk_matched,shock_floor_0.50_risk_matched,max_gross_notional_multiple_4.00_risk_matched,max_gross_notional_multiple_3.00_risk_matched
1990-01-31,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.009064543089825516,-0.01011304920938283,-0.013760698907881008,-0.01026510203626474,0.0016085726117172072,0.0016085726117172072,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.009365191366589642,-0.009365191366589642,-0.009365191366589642,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.005763446077605483,-0.009064543089825516,-0.01011304920938283,-0.013760698907881008,-0.010318409229692627,0.0016085726117172072,0.0016085726117172072,-0.005763446077605483,-0.011633747978118225
1990-02-28,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,0.0042874501354075445,0.00021739463441616813,-0.0004863871694066324,-0.0004974036505944746,-0.0010620616022025686,-0.0010620616022025686,-0.0014089770173995042,-0.0014089770173995042,-0.0014471324487254078,-0.0014471324487254078,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0018761983692884288,-0.0018761983692884288,-0.0018761983692884288,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,-0.0014089770173995042,0.0042874501354075445,0.00021739463441616813,-0.0004863871694066324,-0.0005241834851423821,-0.0010620616022025686,-0.0010620616022025686,-0.0014089770173995042,0.0017092887794214473
1990-03-31,0.0068697581754304515,0.007014079581848742,0.007014079581848742,0.007014079581848742,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0009647422840732833,0.006033108770860718,-0.0045983265369082815,-0.0013977279333395876,0.0064931129999787895,0.004666578286943501,0.0068697581754304515,0.0068697581754304515,0.007224179283055188,0.007224179283055188,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.006028833686284818,0.006028833686284818,0.006028833686284818,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0068697581754304515,0.0009647422840732833,0.006033108770860718,-0.0045983265369082815,-0.0013978406716941283,0.0064931129999787895,0.004666578286943501,0.0068697581754304515,0.0024508736925914487
1990-04-30,-0.0015321969747830178,0.006213112189404679,0.006213112189404679,0.006213112189404679,0.0018615799524475118,0.0018615799524475118,0.0018615799524475118,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,0.0007378822944847929,-0.00048640770873165096,-0.00019787553661831936,-0.000309060092292035,-0.0017285930266364158,-0.0011024298689327194,-0.0015321969747830178,-0.0015321969747830178,-0.0014532247907607099,-0.0014532247907607099,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,0.005264113942291315,0.005264113942291315,0.005264113942291315,0.0018615799524475118,0.0018615799524475118,0.0018615799524475118,-0.0014070441843385684,-0.0014070441843385684,-0.0014070441843385684,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,-0.0015321969747830178,0.0006121153121225742,-0.00048640770873165096,-0.00019787553661831936,-0.0003090850554471336,-0.0017285930266364158,-0.0011024298689327194,-0.0015321969747830178,-0.005675781256909818
1990-05-31,-0.03358570923633175,-0.03334429526274396,-0.03334429526274396,-0.03334429526274396,-0.03311245282966635,-0.03311245282966635,-0.03311245282966635,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.04443837543461493,-0.039871390563723685,-0.04580757374402711,-0.03387431172941602,-0.03495020828990991,-0.033735315944304456,-0.03388424347651264,-0.03358570923633175,-0.03360606665287358,-0.03360606665287358,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.03379958008335826,-0.03379958008335826,-0.03379958008335826,-0.03346302397895018,-0.03346302397895018,-0.03346302397895018,-0.033615056948779864,-0.033615056948779864,-0.033615056948779864,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.03358570923633175,-0.04617445071721138,-0.039871390563723685,-0.04580757374402711,-0.0338770486442157,-0.03495020828990991,-0.0333856485612154,-0.03358570923633175,-0.034622289070431966
1990-06-30,0.009041833536255206,0.007250906694999726,0.007250906694999726,0.007250906694999726,0.010144785201783968,0.010144785201783968,0.010144785201783968,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.015737510536113497,0.00895798812610571,0.010514061214011772,0.014884574825443142,0.009581504123350904,0.008859410459966188,0.008859835078600886,0.009041833536255206,0.009038472804010045,0.009038472804010045,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.0072981235020281865,0.0072981235020281865,0.0072981235020281865,0.010018210608487177,0.010018210608487177,0.010018210608487177,0.009040974884074737,0.009040974884074737,0.009040974884074737,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.009041833536255206,0.015065759847835869,0.00895798812610571,0.010514061214011772,0.01488581961183666,0.00974674517765206,0.00898611361749202,0.009041833536255206,0.012270438021642516
1990-07-31,0.05518346942367924,0.03711438742651829,0.03711438742651829,0.03711438742651829,0.05084625299921819,0.05084625299921819,0.05084625299921819,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.04444704678510858,0.055560422109430574,0.032236654285097144,0.05229750959027046,0.05525127929806395,0.05487317052525387,0.03630683275944291,0.05518346942367924,0.051904149887530115,0.051904149887530115,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.03579086469385451,0.03579086469385451,0.03579086469385451,0.050871069684788495,0.050871069684788495,0.050871069684788495,0.05191838954121586,0.05191838954121586,0.05191838954121586,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.05518346942367924,0.04456301381360328,0.055560422109430574,0.029836564187417647,0.05230181904400366,0.055521144474615536,0.054846432269175294,0.05518346942367924,0.03729233782083563
1990-08-31,0.0770706696854333,0.07269100297245612,0.07269100297245612,0.07269100297245612,0.0774015961837391,0.0774015961837391,0.0774015961837391,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.07239978460418617,0.07699094551645658,0.09480700050777524,0.0832803808568896,0.07658282779340442,0.07665984160680095,0.08606573339949963,0.0770706696854333,0.0799398432889864,0.0799398432889864,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.0728459987927148,0.0728459987927148,0.0728459987927148,0.07743754505881184,0.07743754505881184,0.07743754505881184,0.07996069197025202,0.07996069197025202,0.07996069197025202,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.0770706696854333,0.0725806245002738,0.07699094551645658,0.09584660004232148,0.08328690229828473,0.07655071858344153,0.07662442950504467,0.0770706696854333,0.08650591963185716
1990-09-30,0.029536341256216847,0.02759854691254504,0.02759854691254504,0.02759854691254504,0.029132384911700004,0.029132384911700004,0.029132384911700004,0.029536341256216847,0.029536341256216847,0.029536341256216847,0.029536341256216847,0.029536341256216847,0.029536341256216847,0.029536341256216847,0.029536341256216847,0.026481007084898867,0.02630447636335198,0.03142025434283102,0.02878592951548442,0.0294779547303492,0.02950548789062335,0.029342801438082322,0.029536341256216847,0.02926550666089267,0.029209422388787987,0.0296522962555128,0.0296522962555128,0.029536341256216847,0.02780556778054888,0.02780556778054888,0.02780556778054888,0.029144942878259528,0.029144942878259528,0.029144942878259528,0.029216476305343297,0.029216476305343297,0.029216476305343297,0.029536341256216847,0.029536341256216847,0.029536341256216847,0.029536341256216847,0.029536341256216847,0.02654267532075627,0.02630447636335198,0.03149433683918179,0.02878801035055356,0.029466474223185823,0.029492828221465928,0.0296522962555128,0.028220461950655196
1990-10-31,0.0023852636073136146,0.0032509471544968083,0.0032509471544968083,0.0032509471544968083,0.0026306295779445765,0.0026306295779445765,0.0026306295779445765,0.0023852636073136146,0.0023852636073136146,0.0023852636073136146,0.0023852636073136146,0.0023852636073136146,0.0023852636073136146,0.0023852636073136146,0.0023852636073136146,0.0026491367351682005,0.004711491705485349,-0.0018798743639090176,0.0018193674226130163,0.001976014732408382,0.00261970324952987,0.0023057506742301115,0.0023852636073136146,0.002316210560591392,0.002386221477377326,0.0026323625441619924,0.0026323625441619924,0.0023852636073136146,0.0020364013347100585,0.0020364013347100585,0.0020364013347100585,0.002631731437995999,0.002631731437995999,0.002631731437995999,0.0023867813785405367,0.0023867813785405367,0.0023867813785405367,0.0023852636073136146,0.0023852636073136146,0.0023852636073136146,0.0023852636073136146,0.0023852636073136146,0.0026551464573205674,0.004711491705485349,-0.0018823327720240979,0.0018194952582446522,0.0019752671799118104,0.0026186114363588864,0.0026323625441619924,0.0034914237138181647
