Sample,Sessions,Share of sessions,Annualized return,Annualized volatility,Daily hit rate,Mean gross notional multiple,Mean risk scalar,Volatility ratio to all sessions,Exposure ratio to all sessions,Hit-rate difference to all sessions
All sessions,6523,1.0,0.12268876892070536,0.07718572567461184,0.554806070826307,2.637926709442167,0.7964111965450026,1.0,1.0,0.0
In drawdown deeper than 5%,958,0.14686493944504062,-0.1330559822395361,0.07476324514367222,0.46555323590814196,2.0714803945977405,0.6854695379495253,0.9686149153905483,0.785268365183576,-0.08925283491816499
Outside drawdown deeper than 5%,5565,0.8531350605549594,0.16671454998297153,0.07726342968754353,0.5701707097933513,2.7354389411799858,0.8155095090219959,1.001006714807078,1.0369654817887035,0.01536463896704432
