variant,lever,validation_status,excess_cagr,funded_cagr,sharpe_excess_of_financing,historical_max_drawdown,funded_historical_max_drawdown,bootstrap_p_drawdown_breach_15pct,bootstrap_p_drawdown_breach_20pct,bootstrap_p01_max_drawdown,bootstrap_median_max_drawdown,funded_bootstrap_p_drawdown_breach_15pct
baseline,baseline,retrospective_lever_sensitivity,0.131895491093595,0.170085161242171,1.590114234296538,-0.11833505305751357,-0.11170087346178992,0.047,0.002,-0.17970077102212623,-0.09964215368767293,0.0155
risk_budget_0.075,risk_budget_volatility,retrospective_lever_sensitivity,0.14270004571512396,0.1812526689836893,1.595597479463056,-0.11872020878423528,-0.11208933582999625,0.0625,0.0075,-0.1864241220531003,-0.10548101967665269,0.0225
risk_budget_0.08,risk_budget_volatility,retrospective_lever_sensitivity,0.15348858435009927,0.1924032107544955,1.6018081790434047,-0.1338432918448592,-0.12732570654247855,0.104,0.007,-0.19231784016635886,-0.11084010624183616,0.036
risk_budget_0.085,risk_budget_volatility,retrospective_lever_sensitivity,0.1627605570550268,0.20198644563423995,1.6007099662549582,-0.13093221936246646,-0.12439303628219656,0.138,0.014,-0.20414376008919097,-0.11937095333937064,0.071
