month,baseline,risk_budget_0.075,risk_budget_0.08,risk_budget_0.085
1990-01-31,-0.005763446077605483,-0.01012520906585701,-0.010918941809246907,-0.012557749159904041
1990-02-28,-0.0014089770173995042,0.0019777620501608695,0.000578504551688841,0.0006095843288527192
1990-03-31,0.0068697581754304515,0.0024464829415222766,0.004492530265388206,0.009994650796609106
1990-04-30,-0.0015321969747830178,-0.005665637885250763,-0.004853835077117674,-0.0012331253399036068
1990-05-31,-0.03358570923633175,-0.03611123355798729,-0.042352153612765675,-0.04068853691079033
1990-06-30,0.009041833536255206,0.01231546501853531,0.0122512494142335,0.015803160702992924
1990-07-31,0.05518346942367924,0.05682361861226837,0.06609186094330677,0.07174612665148938
1990-08-31,0.0770706696854333,0.07987187292694276,0.09433448579435977,0.10106961603406206
1990-09-30,0.029536341256216847,0.027805421189178947,0.031098623340386933,0.0337988840182426
1990-10-31,0.0023852636073136146,0.003448309089413071,0.00424989003951759,0.005359925764705675
1990-11-30,-0.004021217992936532,-0.0016187060836800882,-0.0007168812871422015,-0.00138175390809403
1990-12-31,0.020776046177317875,0.024500677309493346,0.022838958523326403,0.030181681461525445
1991-01-31,0.0030389405690227633,0.012300298811789068,0.007726901369226935,0.006875133621343732
1991-02-28,-0.00257666521933797,-0.01549247044135238,-0.016060706305167538,-0.009951937422172596
1991-03-31,-0.03199904367105444,-0.031327675407741395,-0.031674718121690204,-0.033434086189336854
1991-04-30,0.0190443261007609,0.02346126725897868,0.02456479891187402,0.02621364939192583
1991-05-31,0.0008507755031772479,0.005548786467712619,0.00571884379957166,0.005444997538593954
1991-06-30,0.029630420585810224,0.030112315301120685,0.03435872134011486,0.03584218312132892
1991-07-31,-0.019199620668802653,-0.02087015892720734,-0.017475642636820554,-0.02006173650221965
1991-08-31,0.0012488133147570135,0.0004159426901952923,0.0005081755603200122,9.712359596836251e-05
1991-09-30,0.015350668561903369,0.014907363313823252,0.016407186559370013,0.016536992174850162
1991-10-31,-0.001817425191812938,-0.005126449172544678,-0.0062596602913556065,-0.003480308955775002
1991-11-30,0.025054117211760207,0.02695734236330738,0.026553938147402478,0.02652778201223338
1991-12-31,0.045888623426263875,0.052393956721122015,0.05770448381424642,0.05797854497848465
1992-01-31,-0.012970922557646869,-0.013771720111509067,-0.013527729168760994,-0.019181743570811816
1992-02-29,-0.008714825711431562,-0.009661815621699654,-0.011742816474147877,-0.008374024629295374
1992-03-31,-0.015200837549183444,-0.015219620064389705,-0.01448997758183801,-0.02094245295413988
1992-04-30,0.03682008944672721,0.04015546105960066,0.03696146582465487,0.03757570938302801
1992-05-31,0.01450072167635108,0.014981805882414934,0.018009274363720795,0.014608384306135092
1992-06-30,0.03883394559775444,0.042016947019509754,0.04941544838282885,0.06669280092902241
1992-07-31,0.011680591494966475,0.010727493350574102,0.018049305133633453,0.02079705450375413
1992-08-31,0.028150032216760046,0.03174995077811493,0.02598750371887326,0.030440893574298356
1992-09-30,0.027849272076971854,0.03515517750482555,0.037436232890018184,0.027937105285591013
1992-10-31,-0.01691114357860346,-0.017015300280963208,-0.010315006433371687,-0.012760896254691234
1992-11-30,0.010425126333533763,0.0079449580837474,0.009259967454865903,0.008193927839080573
1992-12-31,0.019501701189535314,0.018979986445881503,0.02097897707595542,0.023797352737517485
1993-01-31,0.03828018580234627,0.03884118281463178,0.04136742226209189,0.04294533866208017
1993-02-28,0.041224326461686944,0.039542962327961284,0.047464523872289055,0.048025305401711016
1993-03-31,0.011393920315797557,0.01756952253295352,0.016152047626548205,0.015154783659651727
1993-04-30,0.03404145037702633,0.04373434705590906,0.04353191707038495,0.03395466171068984
1993-05-31,0.006570430311202191,0.006590044297476005,0.007269983308020533,0.006808108367964749
1993-06-30,0.014199174953794413,0.012765453458112752,0.012061312162995774,0.010723389345066447
1993-07-31,0.050045552739772514,0.057075425010384206,0.057014760086383065,0.06265389805558885
1993-08-31,0.016964374741678112,0.01762759276468495,0.018792325491753026,0.023880286098368453
1993-09-30,-0.03357310938036451,-0.0362866148840455,-0.037111611575683434,-0.039626348736607975
1993-10-31,0.022220486464597622,0.02422545935784748,0.02436049437673926,0.025136483821260658
1993-11-30,0.03399719878341578,0.03962509605665998,0.032200700151716166,0.03996908842559699
1993-12-31,0.05181894298645462,0.05922534159811499,0.06513449036918395,0.06698153326890366
1994-01-31,0.0011402162832103713,0.0017110242392699426,-0.002754049594857033,-0.006860194702565159
1994-02-28,-0.0361418167291746,-0.037458818630106916,-0.03823355505120285,-0.041386844958159696
1994-03-31,-0.018340469915177127,-0.017544213296149858,-0.01892387773088622,-0.01876902466315844
1994-04-30,-0.017059574094689722,-0.01669533028739656,-0.017086207276589715,-0.019494480146869053
1994-05-31,0.026364034568478578,0.028654093614208342,0.026762577007044985,0.027647929574800445
1994-06-30,-0.021123525497374285,-0.024437447064615148,-0.023729110345882876,-0.022948246254846594
1994-07-31,-0.006359138345215731,-0.008331792243364777,-0.0072709230145348025,-0.008210675049838967
1994-08-31,-0.007431619911944631,-0.005442210295404815,-0.007904685714378967,-0.00736162283484898
1994-09-30,0.03710534149031619,0.038730444174030376,0.039678378622572064,0.043500211072359685
1994-10-31,0.012708099853437904,0.015173691068441464,0.015906219834400437,0.01720332250103218
1994-11-30,0.04772517085032035,0.055604914997746224,0.06021532380197492,0.063790557587863
1994-12-31,0.007283264026738845,0.008995117943280562,0.011437402806019348,0.013828719426855152
1995-01-31,-0.012189359811914713,-0.013774235980986593,-0.014077696133911966,-0.017120445022490216
1995-02-28,-0.0025850887659618627,0.0004867319988965946,0.0007285536722112518,-0.0011764920051681171
1995-03-31,-0.016681845794085937,-0.022859438530240417,-0.023952913864171532,-0.023880976911037965
1995-04-30,-0.011222135768902408,-0.014832882317275642,-0.015461957148774186,-0.013735873697677703
1995-05-31,0.018099083577573616,0.018103403638211946,0.016267228326594774,0.015912408451102644
1995-06-30,0.004426127027993942,0.005866472841997927,0.0092247247263475,0.009882938754778303
1995-07-31,-0.02384224555210257,-0.024814165468029836,-0.028230826968951406,-0.027029776023308694
1995-08-31,0.005125188269849534,0.001914433158333173,0.005504738674243725,0.004189295489394285
1995-09-30,0.02859820376896338,0.035859173186503224,0.0363471139377618,0.03803747948593972
1995-10-31,0.014496053297170075,0.01236603845425388,0.014076689159125522,0.01563512932696165
1995-11-30,0.005261977972795817,0.007596737708902568,0.008608749722762932,0.004946992206759759
1995-12-31,0.09312304744541189,0.09590185928989681,0.10319447620340805,0.10598018511502061
1996-01-31,0.001007451063178122,-0.0011250812407727073,-0.0017778399824007751,-0.002970489817193833
1996-02-29,0.009452879235098743,0.010689772257525654,0.006616135604319506,0.006284561560962576
1996-03-31,0.03234038775164905,0.03548927304213634,0.04393841686886457,0.042009305609091774
1996-04-30,0.05180988806700304,0.05972465648480041,0.06351140785020526,0.06466010430511782
