variant,lever,evaluation_mode,assumption,validation_status,run_status,run_detail,ledger_reconciliation,start,end,years,cagr,annualized_volatility,sharpe,hac_sharpe,sortino,calmar,max_drawdown,max_drawdown_duration_sessions,episode_profit_factor_usd,episode_expectancy_bps_nav,annual_cost_drag,annual_fixed_cost_drag,annual_impact_cost_drag,annual_rebalance_turnover_contracts,annual_roll_turnover_contracts,roll_share_of_turnover,average_risk_scalar,average_markets_held,peak_gross_notional_multiple,peak_static_margin_fraction,portfolio_limit_binding_decision_days,peak_order_participation,peak_rebalance_participation,p999_rebalance_participation,delta_cagr,delta_sharpe,delta_annualized_volatility,delta_max_drawdown,delta_annual_cost_drag,delta_peak_gross_notional_multiple
baseline,baseline,baseline,Canonical v3.2.1 configuration at a 7% risk budget.,retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.13184942786774334,0.07713612613718261,1.5899923444313258,1.4918331681542836,2.4013186377199163,1.1142043245940108,-0.11833505305751357,470,1.8387565257812415,16.39762474591945,0.010440085090245483,0.009502980175724755,0.000937104914520726,1808.8104750821467,3182.7703504928804,0.637627729913845,0.7964111965450026,39.8244672696612,5.198410312544924,0.5273192516158127,24,1.5,0.06818181818181818,0.021437432790412693,0.0,0.0,0.0,0.0,0.0,0.0
risk_budget_0.075,risk_budget_volatility,marginal,Portfolio risk budget raised to 7.50% with every other control unchanged.,retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.1426499769854659,0.08291381965816955,1.5954751692808624,1.4877539960691584,2.4086457554506104,1.201564404630732,-0.11872020878423528,464,1.8416135206596957,18.030301679926815,0.011320787261109256,0.010220486219843469,0.0011003010412657859,2286.7460881708653,4011.9068296823657,0.6369468014836644,0.8065668893314223,40.21079258010118,5.22347608490446,0.5712106576182534,28,1.5,0.07954545454545454,0.02347657695799656,0.010800549117722547,0.0054828248495366605,0.0057776935209869346,-0.0003851557267217087,0.0008807021708637734,0.025065772359535998
risk_budget_0.08,risk_budget_volatility,marginal,Portfolio risk budget raised to 8.00% with every other control unchanged.,retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.15343448258305203,0.08856302409718185,1.6016853927813683,1.4873163723060396,2.421359692194478,1.1463740951687098,-0.1338432918448592,467,1.8154708545659626,19.483753098650627,0.012152081153809408,0.010878993552103549,0.0012730876017058579,2891.936508762322,5079.071006024096,0.6371931022022363,0.818014416959891,40.34968572742603,5.2778904629626835,0.5978599023007387,40,1.5,0.07954545454545454,0.028339071479140953,0.021585054715308694,0.01169304835004259,0.011426897959999238,-0.01550823878734564,0.0017119960635639253,0.07948015041775935
risk_budget_0.085,risk_budget_volatility,marginal,Portfolio risk budget raised to 8.50% with every other control unchanged.,retrospective_lever_sensitivity,completed,,reconciled,1990-01-01,2014-12-31,25.005304694826044,0.16270296269682283,0.09375196687747486,1.6005872641761874,1.4913597736878672,2.423608155963581,1.2426503078390794,-0.13093221936246646,467,1.8131771069897145,20.537817868026202,0.012948132943480725,0.011505885048370825,0.0014422478951099005,3486.2456631982473,6108.390778751369,0.636646402988684,0.8306031569758323,40.51785988042312,5.2519789999872195,0.6420738719115989,50,1.5,0.09090909090909091,0.030410419416012944,0.030853534829079488,0.010594919744861597,0.01661584074029225,-0.01259716630495289,0.0025080478532352422,0.05356868744229537
