Strategy,Sharpe 5%,Sharpe median,Sharpe 95%,P(Sharpe > 0)
Walk-forward ML hybrid CTA,0.04422782468730921,0.5492512484391407,1.0203161756335002,0.9625
Walk-forward ML-only CTA,-0.2891940838535978,0.14800573291850122,0.5697322591797326,0.7155
12-month TSMOM CTA,0.1502566482525892,0.6706627350142638,1.21300655102993,0.982
