Date,12-month TSMOM CTA,Long-only risk-balanced,Multi-horizon trend alternative
2005-01-03,0.9935062144352141,0.9879816050446145,0.9947450560597605
2005-01-04,0.973382020680711,0.9640927914274058,0.9716702831603329
2005-01-05,0.9697719439017921,0.9617908643936003,0.968414389522792
2005-01-06,0.9631582911081958,0.9636833680126811,0.9648681087774622
2005-01-07,0.9586026346958861,0.9591434704124744,0.9608253241795048
2005-01-10,0.9636477815945987,0.9640774630471619,0.9658349618975427
2005-01-11,0.9668699888296273,0.9657454600026764,0.9667381113145933
2005-01-12,0.9785027409688882,0.9720975507736872,0.9741633891558066
2005-01-13,0.9739749420327326,0.9709360431268386,0.968965819613805
2005-01-14,0.9754368573425173,0.9644851911054522,0.9696528545853509
2005-01-17,0.9754368573425173,0.9644851911054522,0.9696528545853509
2005-01-18,0.9805896656025321,0.9663034309617855,0.9741054310009252
2005-01-19,0.9713036570911203,0.9605948141222297,0.9658536396824889
2005-01-20,0.9656799637501599,0.9576112583732256,0.9612283517518014
2005-01-21,0.97220051382879,0.9639109069609804,0.9640868745649532
2005-01-24,0.9705187147739464,0.9627830408089315,0.9620262188110245
2005-01-25,0.9615587606102727,0.9556056137065022,0.9560329695564495
2005-01-26,0.9715048665221595,0.9622140236555153,0.9646081490314631
2005-01-27,0.9732882810830528,0.9595305888374778,0.9647041966213398
2005-01-28,0.9738297703565459,0.9611875933060778,0.9664848550004831
2005-01-31,0.9764670613090836,0.9633815325330369,0.969759260579811
2005-02-01,0.9784934643661244,0.9644569283526082,0.9704350657751402
2005-02-02,0.9799256672903005,0.9634105691051451,0.9725008197192588
2005-02-03,0.9732872436522211,0.9551695858224986,0.9724923221309976
2005-02-04,0.9788813289077866,0.9605661117786993,0.9754455065273909
2005-02-07,0.9765684271956473,0.9586067701446362,0.9760109344088027
2005-02-08,0.9769284805929003,0.95850887912547,0.9767207638506017
2005-02-09,0.974535880796798,0.9601825535905876,0.973191727523601
2005-02-10,0.975566075489618,0.9655295747086593,0.9695814010267536
2005-02-11,0.9789287270770559,0.9692766962993472,0.9703741909726202
2005-02-14,0.9824789160447097,0.9765010594752505,0.9689302091829396
2005-02-15,0.9853540867696423,0.9784561672185433,0.9694292873461794
2005-02-16,0.9833729946030045,0.9710983050240998,0.9715403320892553
2005-02-17,0.9788614847342788,0.9719520401727247,0.9661298768013338
2005-02-18,0.9764392051167649,0.969249465818627,0.9654762351537254
2005-02-21,0.9764392051167649,0.969249465818627,0.9654762351537254
2005-02-22,0.9721175077612222,0.9768295601504615,0.9565279144425564
2005-02-23,0.971410777407916,0.9761605756836349,0.9577541676960651
2005-02-24,0.9734246537748618,0.9749798630909307,0.9607768109127874
2005-02-25,0.9748843017976713,0.9844961257963379,0.9580985195182132
2005-02-28,0.96906955421015,0.9834894694499366,0.9538029331808368
2005-03-01,0.9691943430899136,0.9801183258108523,0.9513495265092422
2005-03-02,0.965403925527374,0.9800362617518588,0.9501747478738105
2005-03-03,0.9636286664111392,0.9765832593212262,0.9499949747428198
2005-03-04,0.9744683058619574,0.9901011718325013,0.9566922380187042
2005-03-07,0.9775237889294521,0.9877284671474118,0.957112400769697
2005-03-08,0.9828686346945709,0.990119686589134,0.9619189680957937
2005-03-09,0.9843693077237169,0.984966219345162,0.9633083704251519
2005-03-10,0.9803783220266274,0.9868108782732555,0.9624097461577364
2005-03-11,0.9803147252032376,0.9859144866760339,0.9672331731073297
2005-03-14,0.9763208607312374,0.9821452929343368,0.9642350524264071
2005-03-15,0.9692588717552333,0.9830620462393825,0.9645312833522651
2005-03-16,0.971905951026835,0.9852799201630855,0.9634220694210437
2005-03-17,0.9677148579117936,0.9863150358651062,0.9607851913656068
2005-03-18,0.9699028023832054,0.9808167654449459,0.9603409065856485
2005-03-21,0.9644694235662674,0.9694915419441791,0.9528027951266476
2005-03-22,0.9618231519317118,0.9584310883023885,0.9523344011372304
2005-03-23,0.954798289029872,0.946951453561846,0.9448941086771617
2005-03-24,0.9555992484767416,0.9483011030305952,0.9471027838401823
2005-03-25,0.9555992484767416,0.9483011030305952,0.9471027838401823
2005-03-28,0.9543384720626693,0.9448200897209965,0.9478605263501244
2005-03-29,0.9511796856131123,0.9459879887020607,0.9446137362165153
2005-03-30,0.9557688977060756,0.9533456789811354,0.9489990416604532
2005-03-31,0.9555357126850194,0.9599247852635262,0.9466094663687388
2005-04-01,0.953501336470911,0.9570388248224476,0.9472777593508738
2005-04-04,0.9527736634755316,0.9546359747486469,0.9477848891839957
2005-04-05,0.9536571890188612,0.9551974029363997,0.9458301774598229
2005-04-06,0.9525333565966647,0.9594119903566269,0.9436533648211679
2005-04-07,0.9507621128663601,0.9562863252411828,0.9424683120704928
2005-04-08,0.9540402470538522,0.952365098760597,0.9441671347864204
2005-04-11,0.955461335160814,0.9567681001872973,0.9419187536429078
2005-04-12,0.9546868790254845,0.9594159237516595,0.9333136497328205
2005-04-13,0.9507294715778769,0.9539811188528959,0.9321936098142731
2005-04-14,0.94372951339372,0.9451041515510423,0.9365896348325784
2005-04-15,0.947709785130707,0.9444448010603913,0.9351207201987374
2005-04-18,0.9557079657612013,0.9463729403274147,0.932771930855366
2005-04-19,0.9568561104263436,0.9611757334421903,0.9272669145046012
2005-04-20,0.9591250199516594,0.9605279409278425,0.9312250992570172
2005-04-21,0.9582543996908088,0.9597759891129917,0.9325165176528627
2005-04-22,0.9616387145501376,0.9618102231743773,0.9326484521672451
2005-04-25,0.9573467675468383,0.9635563563149463,0.9305001203413522
2005-04-26,0.9557508310931508,0.9570255945758378,0.933315324490756
2005-04-27,0.9551831720540347,0.9531641982699444,0.9287813751518614
2005-04-28,0.9553802796497765,0.9494100983343412,0.9287814131798339
2005-04-29,0.9570867336797888,0.9496789825283637,0.9266509253198263
2005-05-02,0.9563484177791771,0.9496141375295485,0.9210375621136098
2005-05-03,0.9525230129083011,0.9441238598445162,0.9174048721139723
2005-05-04,0.965644647856226,0.9551592597853085,0.9181842984721058
2005-05-05,0.9719213233716935,0.9604890445583004,0.921279308885438
2005-05-06,0.9449892923077907,0.947416477339666,0.9041817615373378
2005-05-09,0.9448319329811006,0.9477723958271134,0.8991318094005888
2005-05-10,0.9542394648730782,0.9518158332473677,0.9098421736744675
2005-05-11,0.9494697441936453,0.9479061542464793,0.9097864645608434
2005-05-12,0.9381834118162636,0.93565663321373,0.9113018188953083
2005-05-13,0.9328606474367792,0.9316774218765862,0.9123340027363379
2005-05-16,0.9302084118019087,0.9334917970131655,0.9050387221956893
2005-05-17,0.9326264431072876,0.9359551875147772,0.9046470012383028
2005-05-18,0.9431813361970443,0.9479342339487478,0.9056246432681593
2005-05-19,0.9320257835101904,0.9421479057018916,0.8958562398413609
2005-05-20,0.9182698975497443,0.9365314977279185,0.8906755508590607
2005-05-23,0.9214745118158538,0.9505065070659414,0.8875168760021831
2005-05-24,0.9295559209573796,0.9536428886358455,0.8962130820782858
2005-05-25,0.9281243405848502,0.9529132951878683,0.896311324153617
2005-05-26,0.9193123574142946,0.9526569382205685,0.8894448036944663
2005-05-27,0.9289156324808552,0.9582231879178997,0.8898197185511575
2005-05-30,0.9289156324808552,0.9582231879178997,0.8898197185511575
2005-05-31,0.9249436261540293,0.9562318059895172,0.896652563099014
2005-06-01,0.9352780512258375,0.9692087143532834,0.9134501871089373
2005-06-02,0.9459896519305383,0.9719185852055288,0.9149091398693926
2005-06-03,0.9365027714030656,0.9659811168576623,0.8990472565759124
2005-06-06,0.9371932501604929,0.9728088708957929,0.8925674862114583
2005-06-07,0.940843844498001,0.9745679673647748,0.8952928684431501
2005-06-08,0.9365733519212969,0.9657771860801051,0.8953114630748022
2005-06-09,0.9352276161236769,0.9643085704425856,0.8908697643517947
2005-06-10,0.9305991938644722,0.954118756121322,0.8859913813664195
2005-06-13,0.925830797361669,0.9547616194000917,0.8811280722208603
2005-06-14,0.9214295700566316,0.9540441005046119,0.8781402514214133
2005-06-15,0.9242366603412961,0.963471179871318,0.8743819124795537
2005-06-16,0.9326360804577865,0.971654638585172,0.8790343972178624
2005-06-17,0.9334831346617016,0.9812906488956366,0.8716115961570716
2005-06-20,0.9263654038047664,0.9775802627121389,0.8714417869271218
2005-06-21,0.9338431784644651,0.982651057488976,0.877080492010154
2005-06-22,0.9424832566761684,0.98596872782153,0.8958565874131975
2005-06-23,0.937681822869889,0.9775012181728115,0.8917719530511078
2005-06-24,0.93713504696768,0.9815659187973109,0.8964590216630278
2005-06-27,0.9499581747879866,0.9776774537520253,0.8980325658106604
2005-06-28,0.9449641591321006,0.9683522750388318,0.8961542909997018
2005-06-29,0.9417324725726014,0.9641381764321374,0.894703184475833
2005-06-30,0.9431353865824859,0.9583440774269388,0.8996013392575106
2005-07-01,0.933965434805873,0.9472737189687034,0.8965867025535156
2005-07-04,0.933965434805873,0.9472737189687034,0.8965867025535156
2005-07-05,0.928429994216124,0.9482597319121868,0.8930592381541909
2005-07-06,0.9319698531792836,0.9486371765610423,0.895759412613825
2005-07-07,0.9369277049884767,0.9515101302232813,0.8986079861589831
2005-07-08,0.9449582308170936,0.952932854294327,0.9069331918593634
2005-07-11,0.9459269300492819,0.9616946557223168,0.904383721819397
2005-07-12,0.9399953575248866,0.9685027287664625,0.8938473740539226
2005-07-13,0.9407985230010778,0.963595626885267,0.8973041925067977
2005-07-14,0.9357821705592162,0.9627468468039749,0.8925189293142952
2005-07-15,0.9354183495285371,0.9624294292569723,0.8931161957380689
2005-07-18,0.9335476871527779,0.9596915770147061,0.8890512076761692
2005-07-19,0.9455267712168791,0.9588443909663655,0.9038060485406831
2005-07-20,0.9507927612840443,0.9629052322592258,0.9080518473949288
2005-07-21,0.9452311185779025,0.956667609076762,0.8981850506788382
2005-07-22,0.956867150570417,0.9590281167043009,0.9125088940966204
2005-07-25,0.9561049740920691,0.9567552556141757,0.911940596871447
2005-07-26,0.9531015501727171,0.9537855865403277,0.9126285907065251
2005-07-27,0.9492113157233508,0.9564974352731805,0.908930502092591
2005-07-28,0.955391027525939,0.9682713133755102,0.9113129858461128
2005-07-29,0.9523548116455803,0.9615612488279031,0.9096543865313884
2005-08-01,0.9543972435798976,0.9673211840790025,0.9137424839471333
2005-08-02,0.9555134080509768,0.9708832293536821,0.9172236498728176
2005-08-03,0.9536701735862091,0.9755494198926735,0.9076923504255864
2005-08-04,0.9471989999282875,0.9706365695112114,0.8996140337639172
2005-08-05,0.9430476801477012,0.959627507056928,0.8996781705881562
2005-08-08,0.9403866833947597,0.9579795713550286,0.899419645368559
2005-08-09,0.9416708531852149,0.9595919136898811,0.900133511592044
2005-08-10,0.9412297924360626,0.9673142979735344,0.901732989330946
2005-08-11,0.9463210310868662,0.9815997997817091,0.9022336278651454
2005-08-12,0.9437529887537122,0.9847267254472415,0.8948106597361372
2005-08-15,0.9475881177864451,0.980800025874002,0.9017466894939881
2005-08-16,0.9430866271054817,0.9793680437745261,0.8915912625074626
2005-08-17,0.9380788475118378,0.9685524968882402,0.8898869471556665
2005-08-18,0.9396036320807749,0.9660255779787081,0.8860881379739723
2005-08-19,0.940957492880198,0.9683924596321809,0.8910331228657821
2005-08-22,0.9435221544358975,0.9762807377640929,0.8975440270617542
2005-08-23,0.9429313708915903,0.9770398192257399,0.8950263272958477
2005-08-24,0.9382699028832235,0.9749383910951084,0.890933576610097
2005-08-25,0.9387339404911291,0.976663742217909,0.8870979384823703
2005-08-26,0.9366481897965083,0.9689521452158573,0.8869019475975972
2005-08-29,0.9369378495967715,0.9741619861628154,0.8976170479204411
2005-08-30,0.9345318837452506,0.9798729940505383,0.8972729670850984
2005-08-31,0.9364352177579989,0.9925613177606195,0.8924404218543331
2005-09-01,0.9415457241167711,1.007823812158601,0.8962636931125435
2005-09-02,0.9435011894722624,1.0068714516317618,0.8981746432994013
2005-09-05,0.9435011894722624,1.0068714516317618,0.8981746432994013
2005-09-06,0.949567082642891,1.0085755434433163,0.8968686581057773
2005-09-07,0.9483249230388837,1.0002920577674577,0.8928892291694189
2005-09-08,0.9477432368554491,0.9985790818233364,0.8928036619212458
2005-09-09,0.956580029054184,1.0046709430699077,0.8995920776993044
2005-09-12,0.9556581242314042,0.9978257621507404,0.8980785588971189
2005-09-13,0.9498064484237765,0.9958651562261285,0.8944992461646415
2005-09-14,0.9485046582897094,0.9933741342067636,0.8956292078299642
2005-09-15,0.9491023936557721,0.9883792656496979,0.8976885204731939
2005-09-16,0.9597259032333986,0.990312458136514,0.9002441672251594
2005-09-19,0.9695274234708999,0.9959157378114154,0.9117354352502526
2005-09-20,0.9682876177954158,0.9910790021774233,0.9118875227099091
2005-09-21,0.9663859564763317,0.9953514671516157,0.9143377739812155
2005-09-22,0.9632054290283733,0.9947443991978929,0.911414316469895
2005-09-23,0.9605271774786356,0.9846875635190009,0.9064369029186525
2005-09-26,0.9683640283831058,0.9857235333054402,0.9139418474099037
2005-09-27,0.9677345527703699,0.9794868577803321,0.9129826313136147
2005-09-28,0.978036108961814,0.9866738225380789,0.9230517170162842
2005-09-29,0.9897842361607563,0.9925261753465378,0.9289497981995735
2005-09-30,0.9891462004011445,0.9915275663146605,0.9239087079672414
2005-10-03,0.992384608384942,0.9861398446289811,0.9280834958207261
2005-10-04,0.9846190855140299,0.9810900970937071,0.9219307613337911
2005-10-05,0.9673786862609921,0.9740662480962934,0.9037435316907
2005-10-06,0.9507539769322965,0.9758009009984185,0.8912053999627821
2005-10-07,0.962845893206491,0.9761647516999544,0.9018730341670698
2005-10-10,0.9567092060873421,0.9730567863647831,0.8968408691388962
2005-10-11,0.9642188081536273,0.9705158961754522,0.9026809214238801
2005-10-12,0.9562416010299433,0.9660987104964562,0.8947961700807348
2005-10-13,0.9527147970403731,0.9595199300196667,0.8922533427344778
2005-10-14,0.9621902347016844,0.9654670734813445,0.9023212490186547
2005-10-17,0.97301169293164,0.9662997965208162,0.9120521336054027
2005-10-18,0.9667804405507295,0.9574944166866102,0.903991331034371
2005-10-19,0.9725318765174021,0.9633901351466195,0.9087490403137588
2005-10-20,0.9571689629299186,0.9567415092817778,0.8941412383807481
2005-10-21,0.960436842967195,0.9608431749257917,0.8952461609399097
2005-10-24,0.9730638812522517,0.9630226488917367,0.9103771803158205
2005-10-25,0.9858352195087263,0.9698721991967527,0.9265883177191515
2005-10-26,0.9894345440452438,0.9611329959658794,0.9354643721540914
2005-10-27,0.9744885720438674,0.9587033708162341,0.9191434267704394
2005-10-28,0.9813638139893267,0.9565006839000734,0.9252402747187624
2005-10-31,0.9874419874044951,0.955386528853409,0.9304488918750925
2005-11-01,0.9910955002887755,0.9530846751030586,0.9342960521392002
2005-11-02,0.9948813723809083,0.956411394816259,0.9361853153875124
2005-11-03,1.0048577397184593,0.9533175384629358,0.9422575440041498
2005-11-04,1.0085405180548512,0.9456186931426067,0.9484299663790438
2005-11-07,1.00814643353887,0.9468297384733003,0.9482453225975533
2005-11-08,1.0047590400045852,0.9515619177233011,0.9403841883716993
2005-11-09,1.0103375234995142,0.9483680323892774,0.9472632618326289
2005-11-10,1.0130509056545522,0.9512025217066065,0.9467508369701101
2005-11-11,1.0170336512328328,0.9553487029129667,0.947629125409508
2005-11-14,1.0181440608054442,0.9498262444359042,0.9529467926861193
2005-11-15,1.0161532200013228,0.9504309917318933,0.951295364622633
2005-11-16,1.0184241405024617,0.9569539288253047,0.9500596253010934
2005-11-17,1.0225833592697018,0.9670368475208011,0.9476819048374061
2005-11-18,1.02760772351618,0.9633559315992222,0.9548823883783245
2005-11-21,1.0317767145541414,0.9697441560825937,0.9520351454126388
2005-11-22,1.0272950845599862,0.9766690044414059,0.9432080680036578
2005-11-23,1.034473627870667,0.9744541264724917,0.9511381184082776
2005-11-24,1.034473627870667,0.9744541264724917,0.9511381184082776
2005-11-25,1.0362733159951147,0.9744418694527217,0.9506256602523571
2005-11-28,1.0278615720642899,0.9816467081824694,0.9485913187029062
2005-11-29,1.0362972578403753,0.9714689436604416,0.9617845544401118
2005-11-30,1.0378120711181926,0.9713108554781439,0.9631839069574808
2005-12-01,1.0592116865917882,0.9835321834121626,0.980653022635231
2005-12-02,1.0626927490612836,0.9879968260300586,0.9821923097297944
2005-12-05,1.061827394443875,0.9917791217847465,0.9795034291345551
2005-12-06,1.0618639870164075,0.9967168066496934,0.982193909011849
2005-12-07,1.0695787230276468,0.9897464241882846,0.9897497843215366
2005-12-08,1.059565109141834,1.0011111971122864,0.9796590322026467
2005-12-09,1.0707234315598406,0.9989395823778398,0.9893704019251994
2005-12-12,1.0624927512228985,1.0103952052571241,0.9781420471673403
2005-12-13,1.0608764077470951,1.0138413036293785,0.9767682835860411
2005-12-14,1.0355229078078683,1.015905866494955,0.9564852698744475
2005-12-15,1.0356141812842794,1.0060876108383021,0.9583036118215655
2005-12-16,1.0290243033419955,1.0087747322662874,0.9546054339714118
2005-12-19,1.02348270234217,1.0040569961557788,0.9489854133059343
