,Start,End,Years,CAGR,Annualized volatility,Sharpe (rf=0),Sortino (rf=0),Max drawdown,Calmar,Positive months,Best month,Worst month,Annual cost drag,Average leverage
Walk-forward ML hybrid CTA,2005-01-03,2014-12-31,10.34920634920635,0.0535515853663413,0.10804352162419092,0.5369569419669754,0.8689644415033788,-0.18223480606577813,0.2938603580866529,0.55,0.0908624433446894,-0.08078692989085157,0.001477865249312257,0.880391747478675
Walk-forward ML-only CTA,2005-01-03,2014-12-31,10.34920634920635,0.010280801191010047,0.10487429525312617,0.1500206170549738,0.23753600533890204,-0.191868024252978,0.05358267085428894,0.5083333333333333,0.10309247111982,-0.07156827021082468,0.0018016286398329568,1.2721779968326328
12-month TSMOM CTA,2005-01-03,2014-12-31,10.34920634920635,0.06933364914571993,0.10691343333472539,0.6805781390290198,1.12026697920579,-0.2018841702103107,0.34343281631983497,0.5333333333333333,0.07660360541760358,-0.07197554582119736,0.0014001964641996475,0.6014734492108326
