Year,12-month TSMOM CTA,Long-only risk-balanced,Multi-horizon trend alternative
2005,0.0410788950140073,0.006302199606228909,-0.03348952145334694
2006,0.048833726041424885,0.09026298420695,0.08440627520358124
2007,0.05622954636936894,0.16962271603498724,0.06369108086760833
2008,0.1197543663133167,-0.08038574038577095,0.15624206620054393
2009,-0.05099000729830505,0.1344338226670434,-0.007438285579752235
2010,0.19219894697589912,0.23383513727122818,0.07837021234048747
2011,0.08132101764401067,0.07039943125471004,0.05300617865651991
2012,-0.09681652848575295,0.07469795104169163,-0.11309611428176514
2013,0.24668796025235662,-0.02121734287333754,0.2044733758256574
2014,0.12491467915326626,-0.07488509964852497,0.03086593884724942
