Scenario,CAGR,Volatility,Sharpe,Max drawdown,Annual cost drag
ML blend 25%,0.06285146084105353,0.10718297188589347,0.6224034800557412,-0.1950957126510191,0.0013818668094784312
ML blend 50%,0.0535515853663413,0.10804352162419092,0.5369569419669754,-0.18223480606577813,0.001477865249312257
ML blend 75%,0.0406927622954536,0.10908408560191855,0.42026889910284415,-0.1718718146435142,0.0016543738068989346
ML blend 100%,0.010280801191010047,0.10487429525312617,0.1500206170549738,-0.191868024252978,0.0018016286398329568
Probability scale 0.10,0.04975286936103518,0.1090770883802861,0.499772550584796,-0.17671370671033604,0.0015427106677008335
Probability scale 0.20,0.055943203444313916,0.107493025387538,0.5602514972724411,-0.18633993585935948,0.0014479833607646611
Probability scale 0.30,0.05964472694066414,0.10724259338996972,0.5939402150065477,-0.19159630795786475,0.0014093303484070995
2x trading costs,0.051996793733368296,0.10803654015620841,0.5233123315464407,-0.18367021573717912,0.002955730498624514
3x trading costs,0.05044399849925996,0.10803210540867358,0.509653942814145,-0.1851033230405642,0.00443359574793677
