date,base_gross_return,base_cost_return,base_net_return,prior_overlay_nav,prior_overlay_peak_nav,prior_overlay_drawdown_fraction,exposure_multiplier,desired_multiplier_after_close,decision_multiplier_after_close,overlay_adjustment_turnover_multiple,overlay_adjustment_cost_return,scaled_base_cost_return,overlay_net_return,overlay_nav,overlay_drawdown_fraction
1990-01-01,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1990-01-02,0.0,0.0006246594467294125,-0.0006246594467294125,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0006246594467294125,-0.0006246594467294125,0.9993753405532706,0.0006246594467294031
1990-01-03,0.008745759821491355,0.0,0.008745759821491355,0.9993753405532706,1.0,0.0006246594467294031,1.0,1.0,1.0,0.0,0.0,0.0,0.008745759821491355,1.0081156372532705,0.0
1990-01-04,-0.005011422115983663,0.0,-0.005011422115983663,1.0081156372532705,1.0081156372532705,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.005011422115983663,1.0030635442532705,0.005011422115983599
1990-01-05,-0.0034206651409650684,0.0,-0.0034206651409650684,1.0030635442532705,1.0081156372532705,0.005011422115983599,1.0,1.0,1.0,0.0,0.0,0.0,-0.0034206651409650684,0.9996323997532705,0.008414944860009932
1990-01-08,-0.01005109038330479,0.0,-0.01005109038330479,0.9996323997532705,1.0081156372532705,0.008414944860009932,1.0,1.0,1.0,0.0,0.0,0.0,-0.01005109038330479,0.9895850041532704,0.018381455871956276
1990-01-09,0.0009017852395242936,0.0,0.0009017852395242936,0.9895850041532704,1.0081156372532705,0.018381455871956276,1.0,1.0,1.0,0.0,0.0,0.0,0.0009017852395242936,0.9904773973032704,0.017496246758018197
1990-01-10,0.007765752980272039,0.0,0.007765752980272039,0.9904773973032704,1.0081156372532705,0.017496246758018197,1.0,1.0,1.0,0.0,0.0,0.0,0.007765752980272039,0.9981692001032703,0.009866365308150993
1990-01-11,0.0031305417955961546,0.0,0.0031305417955961546,0.9981692001032703,1.0081156372532705,0.009866365308150993,1.0,1.0,1.0,0.0,0.0,0.0,0.0031305417955961546,1.0012940105032704,0.0067667105815225614
1990-01-12,0.001452012530534584,0.0,0.001452012530534584,1.0012940105032704,1.0081156372532705,0.0067667105815225614,1.0,1.0,1.0,0.0,0.0,0.0,0.001452012530534584,1.0027479019532703,0.005324523399542924
1990-01-15,-0.005360428069238158,0.0,-0.005360428069238158,1.0027479019532703,1.0081156372532705,0.005324523399542924,1.0,1.0,1.0,0.0,0.0,0.0,-0.005360428069238158,0.9973727439532704,0.010656409744094875
1990-01-16,0.0018713415433853162,0.0,0.0018713415433853162,0.9973727439532704,1.0081156372532705,0.010656409744094875,1.0,1.0,1.0,0.0,0.0,0.0,0.0018713415433853162,0.9992391690032703,0.008805009982967071
1990-01-17,-0.004897963122164195,0.0,-0.004897963122164195,0.9992391690032703,1.0081156372532705,0.008805009982967071,1.0,1.0,1.0,0.0,0.0,0.0,-0.004897963122164195,0.9943449324032703,0.013659846490944316
1990-01-18,0.002019989376468567,0.0,0.002019989376468567,0.9943449324032703,1.0081156372532705,0.013659846490944316,1.0,1.0,1.0,0.0,0.0,0.0,0.002019989376468567,0.9963534986032702,0.011667449859271706
1990-01-19,0.0020069226462326906,0.0,0.0020069226462326906,0.9963534986032702,1.0081156372532705,0.011667449859271706,1.0,1.0,1.0,0.0,0.0,0.0,0.0020069226462326906,0.9983531030032703,0.009683942882385388
1990-01-22,0.001111589974190072,4.66446608854366e-05,0.0010649453133046354,0.9983531030032703,1.0081156372532705,0.009683942882385388,1.0,1.0,1.0,0.0,0.0,4.66446608854366e-05,0.0010649453133046354,0.9994162944613368,0.008629310438667548
1990-01-23,-0.0042244759500099476,0.0,-0.0042244759500099476,0.9994162944613368,1.0081156372532705,0.008629310438667548,1.0,1.0,1.0,0.0,0.0,0.0,-0.0042244759500099476,0.9951942843613368,0.012817332074264165
1990-01-24,-0.004171654987613142,0.0,-0.004171654987613142,0.9951942843613368,1.0081156372532705,0.012817332074264165,1.0,1.0,1.0,0.0,0.0,0.0,-0.004171654987613142,0.9910426771613368,0.016935517574601877
1990-01-25,0.0018487781023195596,0.00016073560543219509,0.0016880424968873646,0.9910426771613368,1.0081156372532705,0.016935517574601877,1.0,1.0,1.0,0.0,0.0,0.00016073560543219509,0.0016880424968873646,0.992715599316614,0.0152760629510873
1990-01-26,-0.006002047720517053,0.0,-0.006002047720517053,0.992715599316614,1.0081156372532705,0.0152760629510873,1.0,1.0,1.0,0.0,0.0,0.0,-0.006002047720517053,0.986757272916614,0.02118642301279039
1990-01-29,0.0025373970567243885,0.0,0.0025373970567243885,0.986757272916614,1.0081156372532705,0.02118642301279039,1.0,1.0,1.0,0.0,0.0,0.0,0.0025373970567243885,0.989261067916614,0.018702784323461175
1990-01-30,0.0021713142967646364,0.0,0.0021713142967646364,0.989261067916614,1.0081156372532705,0.018702784323461175,1.0,1.0,1.0,0.0,0.0,0.0,0.0021713142967646364,0.9914090646166138,0.016572079649687432
1990-01-31,0.002988587159172061,0.00013659658666902302,0.002851990572503038,0.9914090646166138,1.0081156372532705,0.016572079649687432,1.0,1.0,1.0,0.0,0.0,0.00013659658666902302,0.002851990572503038,0.9942365539223945,0.013767352492112028
1990-02-01,-0.0027511021790630028,0.00012374035801434476,-0.0028748425370773477,0.9942365539223945,1.0081156372532705,0.013767352492112028,1.0,1.0,1.0,0.0,0.0,0.00012374035801434476,-0.0028748425370773477,0.9913782803852612,0.01660261605862212
1990-02-02,-1.2913133415647599e-05,0.0,-1.2913133415647599e-05,0.9913782803852612,1.0081156372532705,0.01660261605862212,1.0,1.0,1.0,0.0,0.0,0.0,-1.2913133415647599e-05,0.9913654785852613,0.016615314800241587
1990-02-05,0.0016862085034325843,9.807187572528644e-05,0.0015881366277072978,0.9913654785852613,1.0081156372532705,0.016615314800241587,1.0,1.0,1.0,0.0,0.0,9.807187572528644e-05,0.0015881366277072978,0.992939902413247,0.015053565562549442
1990-02-06,-0.0005683475894446642,0.0,-0.0005683475894446642,0.992939902413247,1.0081156372532705,0.015053565562549442,1.0,1.0,1.0,0.0,0.0,0.0,-0.0005683475894446642,0.9923755674132471,0.015613357494294045
1990-02-07,-0.0007049835495483032,0.0,-0.0007049835495483032,0.9923755674132471,1.0081156372532705,0.015613357494294045,1.0,1.0,1.0,0.0,0.0,0.0,-0.0007049835495483032,0.9916759589632471,0.016307333883655684
1990-02-08,-0.0011924726916202938,0.0,-0.0011924726916202938,0.9916759589632471,1.0081156372532705,0.016307333883655684,1.0,1.0,1.0,0.0,0.0,0.0,-0.0011924726916202938,0.9904934124632471,0.017480360524946503
1990-02-09,0.0014170998840965085,0.0,0.0014170998840965085,0.9904934124632471,1.0081156372532705,0.017480360524946503,1.0,1.0,1.0,0.0,0.0,0.0,0.0014170998840965085,0.9918970405632471,0.01608803205772391
