,Start,End,Years,CAGR,Annualized volatility,Sharpe (rf=0),Sortino (rf=0),Max drawdown,Calmar,Positive months,Best month,Worst month,Annual cost drag,Average leverage
12-month TSMOM CTA,2005-01-03,2014-12-31,10.34920634920635,0.06933364914571993,0.10691343333472539,0.6805781390290198,1.12026697920579,-0.2018841702103107,0.34343281631983497,0.5333333333333333,0.07660360541760358,-0.07197554582119736,0.0014001964641996475,0.6014734492108326
Long-only risk-balanced,2005-01-03,2014-12-31,10.34920634920635,0.05383105802748611,0.10447081204024186,0.5541903410602962,0.9152000045005131,-0.2323916460024983,0.23163938529402822,0.5833333333333334,0.08910171059395267,-0.11422180483853883,0.00048126824644829084,0.48872373860167634
Multi-horizon trend alternative,2005-01-03,2014-12-31,10.34920634920635,0.046455705148336746,0.11410193009385934,0.45515332989860285,0.7206813847551604,-0.22830679601570558,0.20347929172086926,0.5916666666666667,0.08499516786922179,-0.08242235268163678,0.0029044151923416795,0.7703996027004791
