,PSR vs adaptive baseline,Deflated Sharpe ratio,CSCV PBO (candidate set)
1990-2004,0.8935024182185708,0.9999579055547958,0.29526029526029524
2005-2014,0.9038787795355292,0.9671570347549054,0.29526029526029524
