,,Observed Sharpe difference,Bootstrap 5%,Bootstrap 50%,Bootstrap 95%,P(difference > 0),Months
Global TSMOM + Basis Momentum (61 markets),1990-2004,0.1972667042952463,0.004071904622724133,0.19061125678548496,0.3722335221181329,0.9515,180.0
Global TSMOM + Basis Momentum (61 markets),2005-2014,0.20249873379903893,-0.05750698471122927,0.22835343381066264,0.5020991201600664,0.9165,120.0
"+ Carry sleeve (tested, not adopted)",1990-2004,0.07194749795035382,-0.19798419017807262,0.039521484520620875,0.2811430114559505,0.62,180.0
"+ Carry sleeve (tested, not adopted)",2005-2014,0.15649280376113617,-0.2632954301048462,0.15407499063829322,0.5606148112492382,0.7455,120.0
