variant,category,basis_weight,risk_budget,risk_managed_window,risk_managed_cap,no_trade_buffer,cost_multiplier,excluded_asset_class,discovery_cagr,discovery_sharpe,discovery_max_drawdown,discovery_pass,confirmation_cagr,confirmation_sharpe,confirmation_max_drawdown,confirmation_pass,combined_cagr,combined_sharpe,combined_max_drawdown,combined_pass,all_windows_pass,later_stress_cagr,later_stress_sharpe,later_stress_max_drawdown,later_stress_pass
adopted,adopted,0.500000000000,flat,63,2.000000000000,0.250000000000,1.000000000000,,0.272211188791,2.139932958586,-0.114246740736,True,0.248613104188,2.072390636519,-0.106354826386,True,0.261090053599,2.108842457007,-0.114246740736,True,True,0.163543676705,1.371256263055,-0.148394296338,False
risk_window_42,parameter_neighbor,0.500000000000,flat,42,2.000000000000,0.250000000000,1.000000000000,,0.266432651437,2.076824827818,-0.114386959340,True,0.244634943374,2.044310141256,-0.110863721138,True,0.256160710779,2.061412395463,-0.114386959340,True,True,0.166549072043,1.391957134217,-0.139599910709,False
risk_window_84,parameter_neighbor,0.500000000000,flat,84,2.000000000000,0.250000000000,1.000000000000,,0.270193486163,2.105374924785,-0.113438476842,True,0.252505618792,2.101903196814,-0.107343958494,True,0.261854474547,2.103110180189,-0.113438476842,True,True,0.164347488071,1.376948074244,-0.147476652448,False
risk_window_126,parameter_neighbor,0.500000000000,flat,126,2.000000000000,0.250000000000,1.000000000000,,0.267315132103,2.053637343599,-0.126562457616,True,0.254164275078,2.101924021661,-0.105270860142,True,0.261107414222,2.074291752451,-0.126562457616,True,True,0.167130615046,1.399171456714,-0.145797190111,False
risk_cap_1_5,parameter_neighbor,0.500000000000,flat,63,1.500000000000,0.250000000000,1.000000000000,,0.278059346169,2.134122263744,-0.113545165539,True,0.247529529458,2.064666375632,-0.104735887956,True,0.263665851811,2.101826689110,-0.113545165539,True,True,0.163119569506,1.366833394082,-0.148034715976,False
risk_cap_2_5,parameter_neighbor,0.500000000000,flat,63,2.500000000000,0.250000000000,1.000000000000,,0.268860823141,2.120812640831,-0.118623222730,True,0.248118435085,2.072559222421,-0.106566503301,True,0.259085272926,2.098494957787,-0.118623222730,True,True,0.166013716914,1.386605482282,-0.149722577697,False
buffer_0_15,parameter_neighbor,0.500000000000,flat,63,2.000000000000,0.150000000000,1.000000000000,,0.272555018321,2.125314628680,-0.113311302173,True,0.249962983167,2.067226286354,-0.103320993216,True,0.261907824660,2.098516452985,-0.113311302173,True,True,0.165648941007,1.386856534349,-0.144671197573,False
buffer_0_35,parameter_neighbor,0.500000000000,flat,63,2.000000000000,0.350000000000,1.000000000000,,0.256739953044,2.054121128539,-0.118956849265,True,0.252195471701,2.110228997658,-0.098868569536,True,0.254565141435,2.079427364504,-0.118956849265,True,True,0.167391490576,1.388854240588,-0.145688128675,False
buffer_0_40,parameter_neighbor,0.500000000000,flat,63,2.000000000000,0.400000000000,1.000000000000,,0.251976576816,2.031168787456,-0.115549617565,True,0.247678698098,2.071869535078,-0.102123656239,True,0.249918098309,2.049708524355,-0.115549617565,True,True,0.167148198549,1.384332537943,-0.150255207960,False
costs_2x,cost_stress,0.500000000000,flat,63,2.000000000000,0.250000000000,2.000000000000,,0.267283889790,2.106184589186,-0.114973444929,True,0.244961378108,2.045699167098,-0.107259549045,True,0.256764626346,2.078309060282,-0.114973444929,True,True,0.160501421790,1.348736155527,-0.148956258975,False
no_risk_management,construction_ablation,0.500000000000,flat,,2.000000000000,0.250000000000,1.000000000000,,0.262583682677,1.989626066234,-0.128898697882,False,0.228366091196,1.922890487489,-0.106997832767,False,0.246447891647,1.958122439696,-0.128898697882,False,False,0.159517529680,1.342021180990,-0.147383848559,False
six_class_budget,construction_ablation,0.500000000000,asset_classes,63,2.000000000000,0.250000000000,1.000000000000,,0.259833467654,2.029459163160,-0.108897795465,True,0.231625563051,1.978698974852,-0.098370316137,False,0.246539769634,2.005422388119,-0.108897795465,True,False,0.161447081929,1.362822396266,-0.169953020674,False
neither_construction_change,construction_ablation,0.500000000000,asset_classes,,2.000000000000,0.250000000000,1.000000000000,,0.251074900071,1.909789042277,-0.139457809463,False,0.217304728125,1.882799251171,-0.101772614939,False,0.235152416041,1.894863813784,-0.139457809463,False,False,0.151613278348,1.288331018404,-0.175582741382,False
drop_equity_indices,leave_one_class_out,0.500000000000,flat,63,2.000000000000,0.250000000000,1.000000000000,Equity indices,0.270113473091,2.117309611827,-0.116732981739,True,0.218254523048,1.838606241454,-0.099663763486,False,0.245592906817,1.990109439332,-0.116732981739,False,False,0.133633937917,1.135371593026,-0.181632389075,False
drop_government_bonds,leave_one_class_out,0.500000000000,flat,63,2.000000000000,0.250000000000,1.000000000000,Government bonds,0.249869625414,2.013433934176,-0.089903016500,True,0.224025578700,1.949970970391,-0.112581065850,False,0.237693350689,1.983980097050,-0.112581065850,False,False,0.116772529612,1.002150321263,-0.211144517934,False
drop_fx,leave_one_class_out,0.500000000000,flat,63,2.000000000000,0.250000000000,1.000000000000,FX,0.253358171833,2.035347754024,-0.118967352502,True,0.214920937122,1.850319366664,-0.114047091499,False,0.235223646540,1.950903487460,-0.118967352502,False,False,0.186077481806,1.544591847956,-0.123642955866,False
