scenario,assumption,validation_status,start,end,cagr,annualized_volatility,sharpe,sortino,max_drawdown,episode_profit_factor,episode_profit_factor_usd,episode_expectancy_bps_nav,episode_expectancy_usd,annual_cost_drag,annual_fixed_cost_drag,annual_impact_cost_drag,peak_gross_notional_multiple,peak_static_margin_fraction,peak_order_participation
baseline,Canonical configuration; no stress applied.,retrospective_sensitivity,1990-01-01,2014-12-31,0.13184942786774334,0.07713612613718261,1.5899923444313258,2.4013186377199163,-0.11833505305751357,2.2682487418188804,1.8387565257812415,16.39762474591945,7948.563249229639,0.010440085090245483,0.009502980175724755,0.000937104914520726,5.198410312544924,0.5273192516158127,1.5
double_fixed_costs,"Half-spread, slippage, commission, and exchange/regulatory fees doubled.",retrospective_sensitivity,1990-01-01,2014-12-31,0.1233424688336775,0.07700130666283951,1.497951866465515,2.2523342243062396,-0.11114297530482264,2.1462701354452327,1.7821843849075167,15.268449839751893,6507.618479089237,0.01985735083556618,0.01897188938382619,0.0008854614517399957,5.198537783925921,0.5144126885632135,1.5
double_impact,Market-impact coefficient doubled; fixed costs unchanged.,retrospective_sensitivity,1990-01-01,2014-12-31,0.1317168363083454,0.07722281784086202,1.5868281407284113,2.3955676913348984,-0.11650725235197046,2.2675553899639795,1.8443129868997037,16.438395849137567,7954.673302625237,0.011367979397849668,0.00949769454085948,0.0018702848569901879,5.137454453798675,0.5240161907260246,1.5
double_all_execution_costs,All fixed execution-cost inputs and the market-impact coefficient doubled.,retrospective_sensitivity,1990-01-01,2014-12-31,0.1219076485185897,0.07722689115694978,1.4778070194706399,2.219733549995799,-0.1139090950729712,2.1328001393560743,1.7789427505049231,15.208673064960765,6388.284000131278,0.020757361198997175,0.018988623022082117,0.001768738176915063,5.182417379543389,0.5160577770240303,1.5
additional_execution_delay_1_session,One executable session added to the configured execution delay.,retrospective_sensitivity,1990-01-01,2014-12-31,0.131682449807083,0.07748056938547035,1.5814335422215229,2.377145195500448,-0.10881967739534204,2.268001222106884,1.851838673691915,16.430037505098294,7949.329696585954,0.01043382572333959,0.009503199817452115,0.000930625905887475,5.263069574221976,0.5230648087275729,1.5
tighter_participation_1pct,Maximum rebalance participation tightened to 1% of session volume.,retrospective_sensitivity,1990-01-01,2014-12-31,0.13195906400205204,0.07721403168918739,1.589677874499456,2.40148766730768,-0.11832581844867684,2.2776568778080195,1.8459267477563068,16.501601472593244,8054.427634650083,0.010431749608772583,0.009497474325712005,0.0009342752830605782,5.136798153176215,0.5258276794448439,1.5
combined_adverse,"All execution costs doubled, one session added, and participation capped at 1%.",retrospective_sensitivity,1990-01-01,2014-12-31,0.11968340489035256,0.07747395555602558,1.4485907009210164,2.1643530350912705,-0.11686299829634705,2.1094458740988618,1.775727330095359,14.860467453116337,5999.546390036812,0.020732602703886095,0.019014480091635817,0.0017181226122502712,5.173889720400377,0.5183733555090245,1.5
