Episode ID,Symbol,Asset class,Direction,Entry date,Exit date,Status,Entry contracts,Maximum absolute contracts,Entry NAV USD,Holding sessions,Holding calendar days,Gross P&L USD,Regular cost USD,Roll cost USD,Net P&L USD,Gross contribution,Cost contribution,Net contribution,MFE contribution,MAE contribution,Resize count,Roll count
6C-0001,6C,FX,Long,1990-01-02,1992-04-01,Closed,6.0,7.0,1000000.0,586,820,15200.000000000038,407.3756804670355,753.9761328909761,14038.648186642027,0.015170344201473519,0.0010635524112487466,0.014106791790224768,0.021626052776874915,-0.01421718970045691,16,9
6J-0001,6J,FX,Short,1990-01-02,1990-03-01,Closed,1.0,2.0,1000000.0,42,58,5062.499999999997,36.83247370290132,0.0,5025.667526297096,0.005223895768211651,3.723981013181619e-05,0.005186655958079834,0.005205351371823703,-0.0022114242207153193,1,0
BRN-0001,BRN,Energy,Long,1990-01-02,1990-07-02,Closed,4.0,4.0,1000000.0,129,181,-13179.999999999993,118.58013323153227,432.22526280291777,-13730.805396034442,-0.013435840880228997,0.0005623381168975476,-0.013998178997126541,0.004155302394096415,-0.014604390240330676,2,6
CL-0001,CL,Energy,Long,1990-01-02,1990-07-02,Closed,2.0,2.0,1000000.0,129,181,-9760.000000000018,69.53155908700477,209.01738657780407,-10038.548945664827,-0.009985047734699428,0.00028419702911371706,-0.010269244763813148,0.0031364213817745225,-0.010297349275424915,3,6
GC-0001,GC,Metals,Short,1990-01-02,1990-10-01,Closed,1.0,2.0,1000000.0,194,272,7940.0000000000155,70.26935908397817,141.96530609780342,7727.765334818234,0.008170330624795054,0.0002143556179777858,0.00795597500681727,0.013845733783936366,-0.002440768267858873,4,4
GF-0001,GF,Agriculture & livestock,Short,1990-01-02,1990-04-02,Closed,6.0,9.0,1000000.0,64,90,1949.9999999999893,296.05268464918845,449.65160574226013,1204.2957096085406,0.002062713601190101,0.0007550115062977755,0.0013077020948923201,0.014571192146445047,-0.0007171980364829793,2,2
HE-0001,HE,Agriculture & livestock,Long,1990-01-02,1992-03-02,Closed,3.0,5.0,1000000.0,564,790,32050.0,336.58288274095406,912.984162344089,30800.43295491496,0.03231973652722097,0.0011505991083565262,0.031169137418864488,0.037600285241464075,-0.0008134071906355537,15,15
HG-0001,HG,Metals,Short,1990-01-02,1990-05-01,Closed,1.0,3.0,1000000.0,85,119,-16312.500000000002,82.35235184936563,112.98138443271253,-16507.83373628208,-0.0166698051982041,0.00019788246053984262,-0.016867687658743948,0.002638544327313766,-0.017738618027680002,3,2
LE-0001,LE,Agriculture & livestock,Long,1990-01-02,1991-10-01,Closed,2.0,6.0,1000000.0,455,637,25709.999999999993,404.1899717723496,1056.352933031497,24249.457095196147,0.02558400601957494,0.0013951013034521852,0.024188904716122773,0.03674004870920649,-0.0008030038308344519,15,10
PL-0001,PL,Metals,Short,1990-01-02,1991-12-02,Closed,2.0,4.0,1000000.0,499,699,18415.000000000004,115.90020237271209,288.0059085376489,18011.093889089643,0.017375419942095058,0.0003805635354779751,0.01699485640661708,0.020194256036400564,-0.007033769743416308,9,7
RS-0001,RS,Agriculture & livestock,Short,1990-01-02,1991-06-03,Closed,21.0,33.0,1000000.0,369,517,16288.83039999999,610.2286558814641,1461.1664094699604,14217.435334648564,0.015823974562720167,0.001997657085661415,0.01382631747705875,0.017380110929246104,-0.009430478582436126,15,6
SB-0001,SB,Agriculture & livestock,Long,1990-01-02,1990-08-01,Closed,1.0,4.0,1000000.0,151,211,-5745.600000000001,100.11310372883219,202.11827088744988,-6047.831374616284,-0.00593693566526282,0.00030708862671017444,-0.006244024291972991,0.008209283621374004,-0.006244024291972991,4,3
YXT-0001,YXT,Government bonds,Short,1990-01-02,1990-02-01,Closed,2.0,2.0,1000000.0,22,30,16.688000000002745,106.71827414828564,0.0,-90.0302741482829,2.899360352963561e-05,0.00010728106522135019,-7.828746169171508e-05,0.0030498188182735775,-0.001028274220797165,0,0
YYT-0001,YYT,Government bonds,Short,1990-01-02,1990-02-01,Closed,5.0,5.0,1000000.0,22,30,-1627.3460000001153,223.81767093785027,0.0,-1851.1636709379654,-0.0016536839258995675,0.00022506525516727006,-0.0018787491810668372,0.004669998288811484,-0.002324763902934462,0,0
ZF-0001,ZF,Government bonds,Long,1990-01-02,1990-05-01,Closed,3.0,6.0,1000000.0,85,119,-15343.753999999988,138.9332710565544,138.08330425876815,-15620.77057531531,-0.015537826823201435,0.00028004570941288616,-0.01581787253261432,0.0,-0.01582795639239591,3,1
ZL-0001,ZL,Agriculture & livestock,Short,1990-01-02,1990-05-01,Closed,6.0,10.0,1000000.0,85,119,-15083.99999999998,173.7818422034033,210.60129889115913,-15468.383141094542,-0.01533980636296303,0.00038880360172582976,-0.01572860996468886,0.0,-0.016826145476972035,2,2
6S-0001,6S,FX,Long,1990-02-01,1990-08-01,Closed,2.0,2.0,987084.4134132781,129,181,7762.500000000011,37.451899128740024,37.89797914546642,7687.150121725804,0.007934483222814355,7.68885129226033e-05,0.007857594709891752,0.008453647756135652,-0.0028475692376348947,1,2
GAS-0001,GAS,Energy,Long,1990-02-01,1990-09-03,Closed,1.0,4.0,987084.4134132781,152,214,31025.0,184.1438462023362,740.9162043118216,30099.93994948584,0.03124093664126529,0.0009430109712034724,0.030297925670061815,0.035956749630865995,-0.0028615298811357818,3,7
HO-0001,HO,Energy,Long,1990-02-01,1990-09-04,Closed,1.0,2.0,987084.4134132781,153,215,17085.60000000001,29.31550211295217,132.9731089365072,16923.311388950548,0.017262902500345574,0.0001639220819634691,0.017098980418382103,0.02296264570542642,-0.002363003374364383,2,7
LLG-0001,LLG,Government bonds,Short,1990-02-01,1990-04-02,Closed,2.0,2.0,987084.4134132781,42,60,19572.705999999995,70.92389439282512,75.31407930345964,19426.46802630371,0.019934670258379347,0.00014821047339261815,0.01978645978498673,0.021488703634934023,-3.6754433336724184e-05,1,1
