Strategy,Strategy designation,Window,Validation status,Start,End,Years,CAGR,Annualized volatility,"Naive daily Sharpe (sqrt252, rf=0)",Monthly Sharpe (rf=0),"HAC Sharpe (21 lags, rf=0)",Sortino (rf=0),Annualized downside deviation,Daily net profit factor,Daily win rate,Daily return skew,Daily return excess kurtosis,Historical daily VaR 95%,Historical daily CVaR 95%,Daily return autocorrelation (lag 1),Max drawdown,Max drawdown duration (sessions),Calmar,Positive months,Best day,Worst day,Worst rolling 5 sessions,Worst rolling 21 sessions,Best month,Worst month,Annual cost drag,Annual fixed-cost drag,Annual impact-cost drag,Average risk scalar,Peak rolling 63-session realized volatility,Average gross notional multiple,Peak gross notional multiple,Average static margin fraction,Peak static margin fraction,Peak order participation,Peak rebalance participation,Peak roll participation proxy,Peak pending markets,Portfolio-limit binding decision days,Average markets held,Closed trade episodes,Open/censored trade episodes,Episodes entered before window,Winning trade episodes,Losing trade episodes,Breakeven trade episodes,Trade win rate,Non-breakeven trade win rate,Trade profit factor (contribution),Trade profit factor (USD),Trade expectancy (bps NAV),Trade expectancy (USD),Average winning trade (bps NAV),Average losing trade (bps NAV),Average win / average loss,Win / loss count ratio,Median trade outcome (bps NAV),Average holding sessions
Diversified Global-Futures Time-Series Momentum Plus Basis-Momentum Portfolio,Best Available Hardened Strategy,1990-2004 development history,retrospective_reused_history,1990-01-01,2004-12-31,15.006468305304011,0.15417700691552794,0.07769974768818137,1.8218300400377898,1.761983426722206,1.690676588949955,2.8198307786654313,0.05020008133561869,1.3614533615446118,0.5578544061302682,0.15526717035809826,2.7937400487982513,0.007652489417583604,0.010358639803076816,0.07959958578431624,-0.099034027539873,219,1.556808409649434,0.7166666666666667,0.04336270807410772,-0.019776566949785048,-0.056789485930190176,-0.06662874937872887,0.09312304744541189,-0.05909302605245226,0.012713123589080296,0.011713756997154016,0.0009993665919262795,0.824046861663943,0.16397110353368827,2.4639415200611747,5.057968838772192,0.2345329905805081,0.5259920430451536,0.01999375195251484,0.0198226395409494,0.01999375195251484,34,1,34.85134099616858,806.0,44.0,0.0,394.0,412.0,0.0,0.48883374689826303,0.48883374689826303,2.474794661674863,2.3966357253295385,22.970401700940993,6289.117566553286,78.05993286910376,30.76889586015897,2.536975432068704,0.9563106796116505,-0.6000489062349593,155.9590570719603
Diversified Global-Futures Time-Series Momentum Plus Basis-Momentum Portfolio,Best Available Hardened Strategy,2005-2014 reused later diagnostic,retrospective_reused_history,2005-01-03,2014-12-31,9.998836389522031,0.09925894552865455,0.07638774246481511,1.2353633553830865,1.2305803389714405,1.1840659824824542,1.800973679724507,0.05239755522463173,1.2316053391259723,0.5502300613496932,-0.23373018362220718,1.4607327907072372,0.007994982358998102,0.010805276388970076,0.04495776675948332,-0.11847122445591673,467,0.8378316843141004,0.65,0.01854718922567726,-0.025329076062764036,-0.041395399915507336,-0.07047010848519797,0.10360763664053096,-0.049965406966725134,0.006981269230854209,0.006149631130005345,0.0008316381008488655,0.7549259093745074,0.1158389480467231,2.8991046298511343,5.1117169008057015,0.14093687710205738,0.25664567444546,0.019992502811445708,0.019863438857852266,0.019992502811445708,46,23,47.2795245398773,867.0,52.0,44.0,414.0,453.0,0.0,0.47750865051903113,0.47750865051903113,2.0051283265544004,1.6876823278422917,10.4799882084313,9703.217277028045,42.74985979794524,20.405848256475956,2.0949807751499985,0.9139072847682119,-0.30515853921090125,135.99538638985007
Diversified Global-Futures Time-Series Momentum Plus Basis-Momentum Portfolio,Best Available Hardened Strategy,1990-2014 full post-launch history,retrospective_reused_history,1990-01-01,2014-12-31,25.005304694826044,0.13189524685750764,0.07718572567461184,1.5895266624546427,1.552242717487283,1.4889016291562005,2.4014239410781735,0.051090008233040884,1.3082996500911033,0.554806070826307,0.0054576463146503345,2.294128642802824,0.007808916557245261,0.010542864218217199,0.06636012933997203,-0.11847122445591607,467,1.1133104048113114,0.69,0.04336270807410772,-0.025329076062764036,-0.056789485930190176,-0.07047010848519797,0.10360763664053096,-0.05909302605245226,0.010421436303130022,0.00948913025155786,0.000932306051572164,0.7964111965450026,0.16397110353368827,2.637926709442167,5.1117169008057015,0.19711176354512566,0.5259920430451536,0.01999375195251484,0.019863438857852266,0.01999375195251484,46,24,39.82032806990649,1673.0,52.0,0.0,808.0,865.0,0.0,0.4829647340107591,0.4829647340107591,2.2781759871643397,1.8498924837444668,16.497485683005603,8058.408928765847,59.8464645209636,25.374265909005533,2.358549592550916,0.9341040462427745,-0.4591068907932216,145.61326957561266
