Universe,Forecast,Window,Sharpe,CAGR
22 markets,Sign 12m,1990-2004,1.2685101747845167,0.1367769564863508
22 markets,Sign 12m,2005-2014,0.6971273393651942,0.07039642164566029
22 markets,Strength 3/6/12m,1990-2004,1.0332258746502618,0.11971747445319303
22 markets,Strength 3/6/12m,2005-2014,0.4309087023831173,0.04346281383164885
43 markets,Sign 12m,1990-2004,1.574005735069285,0.1780106233064327
43 markets,Sign 12m,2005-2014,0.8905164525857274,0.09361525157658734
43 markets,Strength 3/6/12m,1990-2004,1.3580129110287154,0.1550537205576461
43 markets,Strength 3/6/12m,2005-2014,0.6358035058563947,0.06921316974002534
