trial_id,stage,trend_spec,trend_horizons,basis_weight,risk_managed_window,risk_managed_cap,risk_budget,no_trade_buffer,discovery_cagr,discovery_sharpe,confirmation_cagr,confirmation_sharpe,combined_cagr,combined_sharpe,discovery_target_pass,confirmation_target_pass,combined_target_pass,both_subperiods_target_pass,selection_score_min_sharpe,numeric_rank_among_cagr_eligible,selection_status
OPT034,risk_execution,T12,252,0.5,126,2,six_class,0.25,0.259494372797,1.97708596389,0.232484402462,1.99228860908,0.246766300862,1.98104924086,False,False,False,False,1.97708596389,21,not_selected
OPT035,risk_execution,T12,252,0.5,126,2,six_class,0.5,0.243073122936,1.85362208659,0.237615067579,2.01479422726,0.240474167282,1.92187872889,False,True,False,False,1.85362208659,36,not_selected
OPT036,risk_execution,T12,252,0.5,126,2,flat,0,0.275980453417,2.11878388138,0.25183039194,2.08005583738,0.264598488291,2.10048763398,True,True,True,True,2.08005583738,1,numeric_max_not_selected
OPT037,risk_execution,T12,252,0.5,126,2,flat,0.25,0.267315132103,2.0536373436,0.254164275078,2.10192402166,0.261107414222,2.07429175245,True,True,True,True,2.0536373436,11,not_selected
OPT038,risk_execution,T12,252,0.5,126,2,flat,0.5,0.263986574136,2.05309716134,0.25765125304,2.09871103368,0.260972664334,2.07360006083,True,True,True,True,2.05309716134,12,not_selected
OPT039,risk_execution,T12,252,0.5,252,1.5,six_class,0,0.256481121445,1.9714516095,0.233391684801,1.98398369351,0.245602518756,1.97508606383,False,False,False,False,1.9714516095,24,not_selected
OPT040,risk_execution,T12,252,0.5,252,1.5,six_class,0.25,0.247588830479,1.92745566795,0.230533473577,1.97697233916,0.239551633524,1.94758050414,False,False,False,False,1.92745566795,30,not_selected
OPT041,risk_execution,T12,252,0.5,252,1.5,six_class,0.5,0.238993600333,1.77803392923,0.240951400906,1.98742836126,0.239858208757,1.86742855229,False,False,False,False,1.77803392923,43,not_selected
OPT042,risk_execution,T12,252,0.5,252,1.5,flat,0,0.273686234759,2.11832506161,0.249422489837,2.06494761092,0.262251094611,2.09354432065,True,True,True,True,2.06494761092,6,not_selected
OPT043,risk_execution,T12,252,0.5,252,1.5,flat,0.25,0.267122525858,2.07507733278,0.246967528738,2.05494853755,0.257623756757,2.06525849758,True,True,True,True,2.05494853755,10,not_selected
OPT044,risk_execution,T12,252,0.5,252,1.5,flat,0.5,0.252536419589,1.95443507574,0.254862771914,2.06373106864,0.25356981517,2.00376621318,False,True,True,False,1.95443507574,27,not_selected
OPT045,risk_execution,T12,252,0.5,252,2,six_class,0,0.255727326444,1.97732113291,0.235058656306,1.99086234316,0.245988966031,1.98181525555,False,False,False,False,1.97732113291,20,not_selected
OPT046,risk_execution,T12,252,0.5,252,2,six_class,0.25,0.247913036255,1.93786432049,0.231573754799,1.98267847991,0.240212287053,1.95620303874,False,False,False,False,1.93786432049,29,not_selected
OPT047,risk_execution,T12,252,0.5,252,2,six_class,0.5,0.236119829261,1.79674106435,0.238525016383,1.98389778446,0.237193616985,1.87775540196,False,False,False,False,1.79674106435,40,not_selected
OPT048,risk_execution,T12,252,0.5,252,2,flat,0,0.271510271157,2.11880902033,0.251940493172,2.07763028117,0.262286006308,2.09973269597,True,True,True,True,2.07763028117,2,not_selected
OPT049,risk_execution,T12,252,0.5,252,2,flat,0.25,0.26695045204,2.09597807645,0.250290537081,2.07543589089,0.259095209454,2.08627702904,True,True,True,True,2.07543589089,3,not_selected
OPT050,risk_execution,T12,252,0.5,252,2,flat,0.5,0.252397901974,1.97035985327,0.256656561083,2.06147839276,0.25433163187,2.01214460698,False,True,True,False,1.97035985327,25,not_selected
