,Markets traded,Average pairwise P&L correlation,Effective independent bets
Breadth TSMOM (43 markets),43.0,0.0594074912022569,12.302886899567198
Adaptive TSMOM (22 markets),22.0,0.07130289395672558,8.809299896533718
