Date,Walk-forward ML hybrid CTA,Walk-forward ML-only CTA,12-month TSMOM CTA
2005-01-03,0.9918930949496443,0.9900441119533451,0.9935062144352141
2005-01-04,0.9673253562642972,0.9606657973975845,0.973382020680711
2005-01-05,0.9632114353401318,0.9560693483344292,0.9697719439017921
2005-01-06,0.958122890300022,0.9532330988911554,0.9631582911081958
2005-01-07,0.9528663560055965,0.9472796048882037,0.9586026346958861
2005-01-10,0.958669950087421,0.9538323230641707,0.9636477815945987
2005-01-11,0.9609786837422919,0.9548208382179912,0.9668699888296273
2005-01-12,0.9724170874736056,0.965485900919359,0.9785027409688882
2005-01-13,0.9680303484927285,0.9614862648353611,0.9739749420327326
2005-01-14,0.9671184986756444,0.9574632489976196,0.9754368573425173
2005-01-17,0.9671184986756444,0.9574632489976196,0.9754368573425173
2005-01-18,0.9720226967981906,0.9618173336663093,0.9805896656025321
2005-01-19,0.9625097416121203,0.9524372631443603,0.9713036570911203
2005-01-20,0.9574144799713094,0.9482683586283965,0.9656799637501599
2005-01-21,0.9640167373488423,0.9546829558319118,0.97220051382879
2005-01-24,0.9617594606874972,0.9517671980449307,0.9705187147739464
2005-01-25,0.95217185347719,0.9417825601278762,0.9615587606102727
2005-01-26,0.9621094768512655,0.9512669619214635,0.9715048665221595
2005-01-27,0.9630183582445334,0.9509829705581795,0.9732882810830528
2005-01-28,0.964670926406747,0.9540217319140926,0.9738297703565459
2005-01-31,0.9675260181819295,0.9570351657455369,0.9764670613090836
2005-02-01,0.9698919952294702,0.9597667919471063,0.9784934643661244
2005-02-02,0.9708151360751675,0.9600190046048719,0.9799256672903005
2005-02-03,0.963054410240385,0.9510537245583818,0.9732872436522211
2005-02-04,0.9699445581724542,0.9593900390237651,0.9788813289077866
2005-02-07,0.9675514780786962,0.9569620429910989,0.9765684271956473
2005-02-08,0.9677405809376509,0.9569294248508392,0.9769284805929003
2005-02-09,0.9671877916415555,0.958720746038408,0.974535880796798
2005-02-10,0.9687175445360049,0.9608430504164865,0.975566075489618
2005-02-11,0.9721040067684592,0.9641655363521374,0.9789287270770559
2005-02-14,0.9766894468271518,0.9699404522747576,0.9824789160447097
2005-02-15,0.9793676599055021,0.9722921644487962,0.9853540867696423
2005-02-16,0.9748613263512909,0.9646928648341921,0.9833729946030045
2005-02-17,0.9715730576551468,0.9630473450174563,0.9788614847342788
2005-02-18,0.9683368766235646,0.9588668038954788,0.9764392051167649
2005-02-21,0.9683368766235646,0.9588668038954788,0.9764392051167649
2005-02-22,0.9663699168546251,0.9599426327588395,0.9721175077612222
2005-02-23,0.9656016692481363,0.9591172551649744,0.971410777407916
2005-02-24,0.9667477729127552,0.9591243531560917,0.9734246537748618
2005-02-25,0.970790097398845,0.9663426052975294,0.9748843017976713
2005-02-28,0.9651073877562932,0.9609880877685963,0.96906955421015
2005-03-01,0.9649026846156432,0.9603827463507599,0.9691943430899136
2005-03-02,0.9616050261736746,0.9577911167828429,0.965403925527374
2005-03-03,0.9595754201652523,0.9555425670935399,0.9636286664111392
2005-03-04,0.9709729503627779,0.9671499324450703,0.9744683058619574
2005-03-07,0.972322120444787,0.9664449153509107,0.9775237889294521
2005-03-08,0.9767624623288387,0.969653633886464,0.9828686346945709
2005-03-09,0.9765665816530418,0.9674878322721691,0.9843693077237169
2005-03-10,0.9742980630293736,0.967309261549466,0.9803783220266274
2005-03-11,0.9739773116833172,0.9667013697576485,0.9803147252032376
2005-03-14,0.9702693661965807,0.9634728330443125,0.9763208607312374
2005-03-15,0.9651404839249278,0.9607996267480383,0.9692588717552333
2005-03-16,0.9671698568516159,0.9620259965159977,0.971905951026835
2005-03-17,0.9646288837286268,0.9615146518671835,0.9677148579117936
2005-03-18,0.9648738627994338,0.9594689591439945,0.9699028023832054
2005-03-21,0.9584655223712891,0.9521718398107862,0.9644694235662674
2005-03-22,0.9535765896329093,0.9448567466354919,0.9618231519317118
2005-03-23,0.9457990757233677,0.936505783510242,0.954798289029872
2005-03-24,0.946641291476294,0.9373635886267995,0.9555992484767416
2005-03-25,0.946641291476294,0.9373635886267995,0.9555992484767416
2005-03-28,0.9448912178844827,0.9351134240593728,0.9543384720626693
2005-03-29,0.9424374633146169,0.9335697115657703,0.9511796856131123
2005-03-30,0.9474546827797992,0.9388919817241642,0.9557688977060756
2005-03-31,0.9486579252233174,0.9417163747574617,0.9555357126850194
2005-04-01,0.9468464861642912,0.9402032004027799,0.953501336470911
2005-04-04,0.9460853329743945,0.939448137724502,0.9527736634755316
2005-04-05,0.9476682367367709,0.9417031023964706,0.9536571890188612
2005-04-06,0.9474692543909216,0.9425222086608419,0.9525333565966647
2005-04-07,0.9463662917506155,0.9422100557475502,0.9507621128663601
2005-04-08,0.947569938708285,0.9410796285497112,0.9540402470538522
2005-04-11,0.9488618664915325,0.9421588819212606,0.955461335160814
2005-04-12,0.9499657174405304,0.9452431751518848,0.9546868790254845
2005-04-13,0.9459612829341157,0.9414120981197321,0.9507294715778769
2005-04-14,0.9387925049785267,0.9344596029330893,0.94372951339372
2005-04-15,0.9404711814266515,0.9335323494826814,0.947709785130707
2005-04-18,0.945903327514454,0.9358762899515707,0.9557079657612013
2005-04-19,0.9495133551181779,0.9419435653538902,0.9568561104263436
2005-04-20,0.9496972921616753,0.9398541277465855,0.9591250199516594
2005-04-21,0.9501500919844136,0.9417115115118058,0.9582543996908088
2005-04-22,0.9522494855194245,0.9423010686064232,0.9616387145501376
2005-04-25,0.9499518361217251,0.9422869105240869,0.9573467675468383
2005-04-26,0.9465054828295726,0.9370254009768687,0.9557508310931508
2005-04-27,0.9467028683645823,0.9380388021736734,0.9551831720540347
2005-04-28,0.9459241769367995,0.9362469346095336,0.9553802796497765
2005-04-29,0.9475496280003793,0.9376943285261738,0.9570867336797888
2005-05-02,0.9479663343786059,0.9392296753876346,0.9563484177791771
2005-05-03,0.9464963987961631,0.9404896053065573,0.9525230129083011
2005-05-04,0.9558941468613315,0.944575207284265,0.965644647856226
2005-05-05,0.959937894562303,0.9456725072881945,0.9719213233716935
2005-05-06,0.941108805746857,0.9380693438151491,0.9449892923077907
2005-05-09,0.9403969982188978,0.9368540343818749,0.9448319329811006
2005-05-10,0.9462550226624336,0.9380621598118388,0.9542394648730782
2005-05-11,0.9438288739654184,0.9384869984683754,0.9494697441936453
2005-05-12,0.9381717548005353,0.9396877283502875,0.9381834118162636
2005-05-13,0.9349600514068476,0.9392288023137303,0.9328606474367792
2005-05-16,0.9328443130911145,0.9379946299834657,0.9302084118019087
2005-05-17,0.9338981491663242,0.937400497304431,0.9326264431072876
2005-05-18,0.9413247658275303,0.9403708401642255,0.9431813361970443
2005-05-19,0.9345818222345598,0.9393647075247085,0.9320257835101904
2005-05-20,0.9247938106885778,0.935294857024104,0.9182698975497443
2005-05-23,0.9264894739530386,0.9350785032988546,0.9214745118158538
2005-05-24,0.9320365384645332,0.937054552631324,0.9295559209573796
2005-05-25,0.9292327752830472,0.9331248670566937,0.9281243405848502
2005-05-26,0.9224327903864423,0.9294658824768084,0.9193123574142946
2005-05-27,0.9292681152976627,0.9323114727295124,0.9289156324808552
2005-05-30,0.9292681152976627,0.9323114727295124,0.9289156324808552
2005-05-31,0.9257362558312987,0.9297453559653795,0.9249436261540293
2005-06-01,0.9377723094021442,0.9417866700984865,0.9352780512258375
2005-06-02,0.9473132118429184,0.9471958570723525,0.9459896519305383
2005-06-03,0.9368738492062958,0.9375586891229603,0.9365027714030656
2005-06-06,0.9395861183731249,0.9430235587882907,0.9371932501604929
2005-06-07,0.943801843510775,0.9472247718193293,0.940843844498001
2005-06-08,0.9380680389588985,0.9403524081508018,0.9365733519212969
2005-06-09,0.9363754267704412,0.9384649627217416,0.9352276161236769
2005-06-10,0.928935065781047,0.9280177411469901,0.9305991938644722
2005-06-13,0.9244778496075838,0.9250759087291982,0.925830797361669
2005-06-14,0.9205081045123573,0.9227103522778779,0.9214295700566316
2005-06-15,0.9245879026602696,0.9280008907367053,0.9242366603412961
2005-06-16,0.9332833220350732,0.9352415042331031,0.9326360804577865
2005-06-17,0.936140335170407,0.9408058054694011,0.9334831346617016
2005-06-20,0.9284178894391207,0.9338247819270734,0.9263654038047664
2005-06-21,0.9369086931751004,0.9420988471598853,0.9338431784644651
2005-06-22,0.9455913623532065,0.9488769166469211,0.9424832566761684
2005-06-23,0.938981818240303,0.9407542373529529,0.937681822869889
2005-06-24,0.9394041582156838,0.9426979310378959,0.93713504696768
2005-06-27,0.9493097299160579,0.9454659689740738,0.9499581747879866
2005-06-28,0.943434451491452,0.9394735399562752,0.9449641591321006
2005-06-29,0.9392483617188773,0.934659137505536,0.9417324725726014
2005-06-30,0.9395787037086988,0.9331441581863908,0.9431353865824859
2005-07-01,0.9270151973807094,0.916380987133782,0.933965434805873
2005-07-04,0.9270151973807094,0.916380987133782,0.933965434805873
2005-07-05,0.9219997248630469,0.9134082826964436,0.928429994216124
2005-07-06,0.9242142018519007,0.9125709215983511,0.9319698531792836
2005-07-07,0.9300724003912932,0.9189949174335033,0.9369277049884767
2005-07-08,0.9380698567639747,0.9252881563505172,0.9449582308170936
2005-07-11,0.9428856106073445,0.9366231650804734,0.9459269300492819
2005-07-12,0.9403220258186602,0.9412466372146974,0.9399953575248866
2005-07-13,0.9384463435498173,0.9344145195371528,0.9407985230010778
2005-07-14,0.9348290908328956,0.9343229005150147,0.9357821705592162
2005-07-15,0.9341139260155769,0.9330571064914376,0.9354183495285371
2005-07-18,0.9306438040089665,0.9271270806738843,0.9335476871527779
2005-07-19,0.941678076222308,0.93400772532055,0.9455267712168791
2005-07-20,0.9482299497630582,0.9417277095842393,0.9507927612840443
2005-07-21,0.940035734648291,0.9300543194772016,0.9452311185779025
2005-07-22,0.9506486504050238,0.9364565509113921,0.956867150570417
2005-07-25,0.9485544574169932,0.9322000298249858,0.9561049740920691
2005-07-26,0.9451312170489129,0.92867295232895,0.9531015501727171
2005-07-27,0.9433873584462708,0.9314620659015158,0.9492113157233508
2005-07-28,0.9535871213755315,0.9474093549051531,0.955391027525939
2005-07-29,0.9467766755371309,0.9345735933259777,0.9523548116455803
2005-08-01,0.9520673571038784,0.9449374675640372,0.9543972435798976
2005-08-02,0.9552468870483503,0.9514083636029107,0.9555134080509768
2005-08-03,0.956099057645531,0.9572147386046588,0.9536701735862091
2005-08-04,0.9485484008235299,0.9490505507522685,0.9471989999282875
2005-08-05,0.9402434576332424,0.93439452073432,0.9430476801477012
2005-08-08,0.937512152562124,0.9320434462929981,0.9403866833947597
2005-08-09,0.9390459989759912,0.9337617209409157,0.9416708531852149
2005-08-10,0.9432798956204757,0.9460394976125713,0.9412297924360626
2005-08-11,0.9545711851898365,0.9670646851796019,0.9463210310868662
2005-08-12,0.9534842084764481,0.9690750518769465,0.9437529887537122
2005-08-15,0.9547096204755661,0.9649520249059993,0.9475881177864451
2005-08-16,0.9498118029366693,0.9602358805676677,0.9430866271054817
2005-08-17,0.940168469378951,0.9434572000080522,0.9380788475118378
2005-08-18,0.9390156276430107,0.9373886700874375,0.9396036320807749
2005-08-19,0.9416319431662235,0.941912816744276,0.940957492880198
2005-08-22,0.9481315649547977,0.954690611412809,0.9435221544358975
2005-08-23,0.9477245869078589,0.9547164517734732,0.9429313708915903
2005-08-24,0.9430075219857312,0.950798696645769,0.9382699028832235
2005-08-25,0.9440070239127821,0.9526414382994972,0.9387339404911291
2005-08-26,0.9386219064452247,0.9419053317048531,0.9366481897965083
2005-08-29,0.9424707514096562,0.9518485516840505,0.9369378495967715
2005-08-30,0.9430455073000504,0.9580867384152362,0.9345318837452506
2005-08-31,0.9504082979367138,0.974699169001791,0.9364352177579989
2005-09-01,0.9591235050086817,0.9855399066842819,0.9415457241167711
2005-09-02,0.9600134288241491,0.9850321031148612,0.9435011894722624
2005-09-05,0.9600134288241491,0.9850321031148612,0.9435011894722624
2005-09-06,0.9647676723811878,0.9873271773193052,0.949567082642891
2005-09-07,0.9610560699736385,0.9815689024077275,0.9483249230388837
2005-09-08,0.9600479168762546,0.9802828631337335,0.9477432368554491
2005-09-09,0.9678096815764325,0.9852649173731053,0.956580029054184
2005-09-12,0.9647297001761428,0.9803842845641513,0.9556581242314042
2005-09-13,0.9602340741233281,0.978313484696031,0.9498064484237765
2005-09-14,0.9585849045494164,0.976605965449171,0.9485046582897094
2005-09-15,0.9570052572841942,0.972897639837994,0.9491023936557721
2005-09-16,0.9644732697931283,0.9753416275159104,0.9597259032333986
2005-09-19,0.9721775803497127,0.9791747955305143,0.9695274234708999
2005-09-20,0.969858832085577,0.9761340898029157,0.9682876177954158
2005-09-21,0.9702589337431101,0.978985699745124,0.9663859564763317
2005-09-22,0.9679634333276176,0.978130724967154,0.9632054290283733
2005-09-23,0.962890173884777,0.9714245643783546,0.9605271774786356
2005-09-26,0.9681764288707964,0.9728401626689356,0.9683640283831058
2005-09-27,0.9654090390818639,0.9682829904573566,0.9677345527703699
2005-09-28,0.9742671165674561,0.9738012806666074,0.978036108961814
2005-09-29,0.983849684279537,0.9791117696223399,0.9897842361607563
2005-09-30,0.9835506997885473,0.979238969463641,0.9891462004011445
2005-10-03,0.9849958632000635,0.9784315527623808,0.992384608384942
2005-10-04,0.9765183130697819,0.9712235868039878,0.9846190855140299
2005-10-05,0.9611196844058586,0.9613384892747544,0.9673786862609921
2005-10-06,0.9508514982071258,0.9600623579102665,0.9507539769322965
2005-10-07,0.9589943548601586,0.9621457881140697,0.962845893206491
2005-10-10,0.9531991160131235,0.9580540919789686,0.9567092060873421
2005-10-11,0.9577859189676206,0.958517729424351,0.9642188081536273
2005-10-12,0.9517498062456863,0.955897691199104,0.9562416010299433
2005-10-13,0.947232866448575,0.9513877883482739,0.9527147970403731
2005-10-14,0.957199180034216,0.9595779257477852,0.9621902347016844
2005-10-17,0.965006949819806,0.9624320673971086,0.97301169293164
2005-10-18,0.9554296501174304,0.9516189819811497,0.9667804405507295
2005-10-19,0.9617401075638137,0.9570545934936051,0.9725318765174021
2005-10-20,0.9477820402921876,0.9477701777660555,0.9571689629299186
2005-10-21,0.950236021450804,0.9488195294243795,0.960436842967195
2005-10-24,0.9616765004875858,0.9564126555134091,0.9730638812522517
2005-10-25,0.9751089532519082,0.9674213877048442,0.9858352195087263
2005-10-26,0.9754638826755415,0.9643624709299892,0.9894345440452438
2005-10-27,0.9629146186961548,0.9571825198428181,0.9744885720438674
2005-10-28,0.9672316594741216,0.957872448516309,0.9813638139893267
2005-10-31,0.9705835123354962,0.9576643484332765,0.9874419874044951
2005-11-01,0.973493014536505,0.959120134717207,0.9910955002887755
2005-11-02,0.9766735306220857,0.9609782395249519,0.9948813723809083
2005-11-03,0.9856980366020635,0.9671628685705356,1.0048577397184593
2005-11-04,0.9895465677577076,0.970475571418915,1.0085405180548512
2005-11-07,0.9891747803520846,0.9702012674004856,1.00814643353887
2005-11-08,0.9857268606011615,0.9673399503088802,1.0047590400045852
2005-11-09,0.9907078127544492,0.970663088951201,1.0103375234995142
2005-11-10,0.9926309909545484,0.9712824179532158,1.0130509056545522
2005-11-11,0.9957297736052224,0.9727431994607938,1.0170336512328328
2005-11-14,0.9977783047984304,0.9755058365583223,1.0181440608054442
2005-11-15,0.9949073152579888,0.9721463740875471,1.0161532200013228
2005-11-16,0.9958351075790279,0.9713116774993484,1.0184241405024617
2005-11-17,0.9980072930311219,0.970730719851385,1.0225833592697018
2005-11-18,1.0026573726393966,0.9740523937786809,1.02760772351618
2005-11-21,1.0045900873039433,0.9729993792621816,1.0317767145541414
2005-11-22,0.9998871491737625,0.9689424208390124,1.0272950845599862
2005-11-23,1.0056926587311361,0.9720402086143142,1.034473627870667
2005-11-24,1.0056926587311361,0.9720402086143142,1.034473627870667
2005-11-25,1.006574853256221,0.9716897050004045,1.0362733159951147
2005-11-28,0.9986909737934523,0.9659301399716731,1.0278615720642899
2005-11-29,1.00675168755785,0.9720182676951226,1.0362972578403753
2005-11-30,1.0077149137679517,0.9721583868626918,1.0378120711181926
2005-12-01,1.0284052247944235,0.9895692817921768,1.0592116865917882
2005-12-02,1.0311749220779636,0.9909253702084386,1.0626927490612836
2005-12-05,1.032089528385528,0.9946013162245985,1.061827394443875
