Asset class,Annualized mean contribution,Annualized standalone volatility
Equity indices,0.03488985946973174,0.05610877396016351
Government bonds,0.02160685965964485,0.053975842466461255
G10 FX,-0.006150922671918656,0.04329051562262927
Commodities,0.02381734550289227,0.04551290955183134
