Window,Source start,Source end,Source sessions,Method,Drawdown resolution,Expected block sessions,Approximate block months,Horizon sessions,Approximate horizon years,Samples,Seed,Metric,Statistic,Value,Selection adjusted
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,Median,-0.1095086912089413,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,P75,-0.09200054253925993,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,P95,-0.07840614473262109,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,P99,-0.0702632173044001,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability capital falls below 50% of initial (diagnostic),Probability,0.0,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 15%,Probability,0.0705,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 20%,Probability,0.0055,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 30%,Probability,0.0,False
2005-2014 reused later diagnostic,2005-01-03,2014-12-31,2608,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 40%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P01,-0.19120613118410748,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P05,-0.15697134587757383,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P25,-0.12031895376020013,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,Median,-0.10314102745677667,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,21,1.0,2520,10.0,2000,20260803,Maximum drawdown,P75,-0.08929584818356348,False
