year,feature,importance,importance_std
2003,trend_21,0.0,0.0
2003,trend_63,-0.004342311025265759,0.0011874761749657548
2003,trend_126,0.0,0.0
2003,trend_252,0.0018967967031788824,0.0009574076544078441
2003,vol_ratio_20_120,5.213726922892459e-05,6.374737379338734e-05
2003,breakout_252,0.0,0.0
2003,skew_63,0.0,0.0
2003,down_day_share_63,0.00024529643566280807,0.0008622013014422902
2003,cross_section_rank_252,0.0,0.0
2003,class_trend_252,0.007558274937330005,0.0012930383458923716
2003,vix_log,-0.0010985388014999782,0.0003415146235157696
2003,vix_change_21,0.0038353390954215527,0.001800287741110676
2003,yield_curve,0.0,0.0
2003,yield_curve_change_21,-0.007807756630880698,0.0010655174916631425
2003,baa_credit_spread,0.0,0.0
2003,baa_credit_spread_change_21,-0.00038636948555196654,0.0009288194683285028
2003,asset_class,0.0,0.0
2004,trend_21,0.002615374635119775,0.00044102561677803733
2004,trend_63,-0.0021891602749933847,0.0013020824273291686
2004,trend_126,0.0003648575647588655,0.00025713423413670347
2004,trend_252,-0.0008856574941646933,0.0003846352519703962
2004,vol_ratio_20_120,0.0031881844509573654,0.0006708444676659207
2004,breakout_252,-0.0005106869575651762,0.0018438570475273037
2004,skew_63,-8.703451173652788e-06,1.632964907935179e-05
2004,down_day_share_63,-0.0005353842739070173,0.0021339416761846372
2004,cross_section_rank_252,-0.0005170186434975873,3.215879345415427e-05
2004,class_trend_252,0.008002639244938306,0.0017935355271877767
2004,vix_log,0.0052244619006195,0.0014779566196823455
2004,vix_change_21,0.003055208584094508,0.003607374628942168
2004,yield_curve,0.0,0.0
2004,yield_curve_change_21,1.6581420861176237e-05,0.0018959327659153454
2004,baa_credit_spread,0.0,0.0
2004,baa_credit_spread_change_21,0.0012603547838824964,0.0005486249249020507
2004,asset_class,0.0,0.0
2005,trend_21,1.5155047006739272e-05,0.0002096912401826404
2005,trend_63,0.0,0.0
2005,trend_126,3.2795142147860425e-05,0.00013016510768245473
2005,trend_252,-0.001174890964381466,0.0005886674158106859
2005,vol_ratio_20_120,0.0,0.0
2005,breakout_252,0.0,0.0
2005,skew_63,0.0,0.0
2005,down_day_share_63,-0.00019170877234560754,0.00011216941177055616
2005,cross_section_rank_252,-0.0007557047565403355,0.00030875515892478313
2005,class_trend_252,-0.003740340523487743,0.0015189258819336155
2005,vix_log,0.0010757232722200898,0.0011136228452592453
2005,vix_change_21,-0.0018069224485953717,0.002214041002473666
2005,yield_curve,0.0,0.0
2005,yield_curve_change_21,0.0008077463230473647,0.00020475989739244835
2005,baa_credit_spread,0.0,0.0
2005,baa_credit_spread_change_21,-0.0050240379951345115,0.0014403608129453232
2005,asset_class,0.0,0.0
2006,trend_21,0.004572023090082496,0.0012346352622047898
2006,trend_63,0.000489301838919339,0.00057710960958519
2006,trend_126,0.017999137615803185,0.005906132497892429
2006,trend_252,0.0008344722705438956,0.00041794382859524314
2006,vol_ratio_20_120,0.000891593900548715,0.002506796996359294
2006,breakout_252,-0.0014192425480760162,0.0064773039381436455
2006,skew_63,-1.705883515904875e-05,0.0002856466370238358
2006,down_day_share_63,0.0002122342210518028,0.0009621773404470004
2006,cross_section_rank_252,0.00030782193322468715,0.003938003581128966
2006,class_trend_252,-0.0035451453591355633,0.0010904010246168814
2006,vix_log,-7.663912585535264e-05,0.00040006854521661497
2006,vix_change_21,-0.0007138856237762411,0.0006832284414807197
2006,yield_curve,0.0130134357887672,0.005436612084849831
2006,yield_curve_change_21,-4.594095514835287e-05,0.0001251752549657662
2006,baa_credit_spread,-3.2283876384764376e-05,0.00034632089975716364
2006,baa_credit_spread_change_21,-0.0004713286796536413,0.0011986413308496542
2006,asset_class,0.0019548250774180653,0.0008021223735980985
