Date,Symbol,Trade contracts,End contracts,Vendor roll label date,Executed roll,Physical contract turnover,Charged contract turnover
1990-04-02,GF,11.0,3.0,False,False,11.0,11.0
1990-04-02,KC,-1.0,-1.0,False,False,1.0,1.0
1990-04-02,LE,-4.0,3.0,False,False,4.0,4.0
1990-04-02,RS,-15.0,-52.0,False,False,15.0,15.0
1990-04-02,ZL,-2.0,-5.0,False,False,2.0,2.0
1990-04-02,ZM,-3.0,-4.0,False,False,3.0,3.0
1990-04-09,LE,0.0,3.0,True,True,6.0,6.0
1990-04-11,GAS,0.0,5.0,True,True,10.0,10.0
1990-04-16,HE,0.0,4.0,True,True,8.0,8.0
1990-04-17,CC,0.0,-7.0,True,True,14.0,14.0
1990-04-20,CL,0.0,5.0,True,True,10.0,10.0
1990-04-20,KC,0.0,-1.0,True,True,2.0,2.0
1990-04-24,CT,0.0,-3.0,True,True,6.0,6.0
1990-04-26,GF,0.0,3.0,True,True,6.0,6.0
1990-04-30,BRN,0.0,6.0,True,True,12.0,12.0
1990-04-30,HO,0.0,3.0,True,True,6.0,6.0
1990-04-30,HG,0.0,-2.0,True,True,4.0,4.0
1990-04-30,SI,0.0,-3.0,True,True,6.0,6.0
1990-04-30,SB,0.0,4.0,True,True,8.0,8.0
1990-04-30,ZL,0.0,-5.0,True,True,10.0,10.0
1990-04-30,ZM,0.0,-4.0,True,True,8.0,8.0
1990-05-01,YAP,-4.0,-4.0,False,False,4.0,4.0
1990-05-01,ZF,-12.0,-7.0,False,False,12.0,12.0
1990-05-01,ZN,-4.0,-4.0,False,False,4.0,4.0
1990-05-01,CL,-2.0,3.0,False,False,2.0,2.0
1990-05-01,HG,3.0,1.0,False,False,3.0,3.0
1990-05-01,SI,2.0,-1.0,False,False,2.0,2.0
1990-05-01,CC,9.0,2.0,False,False,9.0,9.0
1990-05-01,GF,3.0,6.0,False,False,3.0,3.0
1990-05-01,HE,1.0,5.0,False,False,1.0,1.0
1990-05-01,KC,-1.0,-2.0,False,False,1.0,1.0
1990-05-01,LE,3.0,6.0,False,False,3.0,3.0
1990-05-01,RS,21.0,-31.0,False,False,21.0,21.0
1990-05-01,ZC,15.0,15.0,False,False,15.0,15.0
1990-05-01,ZL,4.0,-1.0,False,False,4.0,4.0
1990-05-01,ZS,-1.0,-1.0,False,False,1.0,1.0
1990-05-10,GAS,0.0,5.0,True,True,10.0,10.0
1990-05-22,CL,0.0,3.0,True,True,6.0,6.0
1990-05-25,GF,0.0,6.0,True,True,12.0,12.0
1990-05-30,LLG,0.0,-1.0,True,True,2.0,2.0
1990-05-31,ZF,0.0,-7.0,True,True,14.0,14.0
1990-05-31,ZN,0.0,-4.0,True,True,8.0,8.0
1990-05-31,BRN,0.0,6.0,True,True,12.0,12.0
1990-05-31,HO,0.0,3.0,True,True,6.0,6.0
1990-05-31,GC,0.0,-3.0,True,True,6.0,6.0
1990-05-31,RS,0.0,-31.0,True,True,62.0,62.0
1990-06-01,YYT,1.0,-5.0,False,False,1.0,1.0
1990-06-01,ZF,3.0,-4.0,False,False,3.0,3.0
1990-06-01,ZN,2.0,-2.0,False,False,2.0,2.0
1990-06-01,ZB,-2.0,-2.0,False,False,2.0,2.0
1990-06-01,6C,-1.0,5.0,False,False,1.0,1.0
1990-06-01,6J,-1.0,-1.0,False,False,1.0,1.0
1990-06-01,6S,-1.0,2.0,False,False,1.0,1.0
1990-06-01,BRN,-3.0,3.0,False,False,3.0,3.0
1990-06-01,CL,-2.0,1.0,False,False,2.0,2.0
1990-06-01,GAS,-1.0,4.0,False,False,1.0,1.0
1990-06-01,HO,-1.0,2.0,False,False,1.0,1.0
1990-06-01,PL,2.0,-4.0,False,False,2.0,2.0
1990-06-01,CC,-1.0,1.0,False,False,1.0,1.0
1990-06-01,CT,3.0,0.0,False,False,3.0,3.0
1990-06-01,HE,-3.0,2.0,False,False,3.0,3.0
1990-06-01,RS,20.0,-11.0,False,False,20.0,20.0
1990-06-01,SB,-2.0,2.0,False,False,2.0,2.0
1990-06-01,ZC,-7.0,8.0,False,False,7.0,7.0
1990-06-01,ZL,6.0,5.0,False,False,6.0,6.0
1990-06-01,ZM,1.0,-3.0,False,False,1.0,1.0
1990-06-04,LE,0.0,6.0,True,True,12.0,12.0
1990-06-11,GAS,0.0,4.0,True,True,8.0,8.0
1990-06-14,HE,0.0,2.0,True,True,4.0,4.0
1990-06-15,YXT,0.0,-3.0,True,True,6.0,6.0
1990-06-15,YYT,0.0,-5.0,True,True,10.0,10.0
1990-06-18,6B,0.0,2.0,True,True,4.0,4.0
1990-06-18,6C,0.0,5.0,True,True,10.0,10.0
1990-06-18,6J,0.0,-1.0,True,True,2.0,2.0
1990-06-18,6S,0.0,2.0,True,True,4.0,4.0
1990-06-19,CC,0.0,1.0,True,True,2.0,2.0
1990-06-20,CL,0.0,1.0,True,True,2.0,2.0
1990-06-21,KC,0.0,-2.0,True,True,4.0,4.0
1990-06-29,YAP,0.0,-4.0,True,True,8.0,8.0
1990-06-29,BRN,0.0,3.0,True,True,6.0,6.0
1990-06-29,HO,0.0,2.0,True,True,4.0,4.0
1990-06-29,HG,0.0,1.0,True,True,2.0,2.0
1990-06-29,PL,0.0,-4.0,True,True,8.0,8.0
1990-06-29,SI,0.0,-1.0,True,True,2.0,2.0
1990-06-29,SB,0.0,2.0,True,True,4.0,4.0
1990-06-29,ZC,0.0,8.0,True,True,16.0,16.0
1990-06-29,ZL,0.0,5.0,True,True,10.0,10.0
