Window,Cohort definition,Scope,Group,Closed episodes,Open or censored episodes,Entries before window,Wins,Losses,Breakevens,Win rate,Loss rate,Non-breakeven win rate,Profit factor contribution,Profit factor USD,Profit factor denominator zero,Expectancy bps,Expectancy USD,Average win bps,Average loss bps,Payoff ratio contribution,Average win USD,Average loss USD,Payoff ratio USD,Median outcome bps,Mean holding sessions,Median holding sessions,Low sample,Definition version
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,FESX,13,1,1,4,9,0,0.3076923076923077,0.6923076923076923,0.3076923076923077,2.7198545340391633,1.8000363072921761,False,17.72113963404505,12284.849833508077,91.08124747829876,14.88335274117883,6.119672701588118,89830.69951609168,22179.972247640188,4.050081691407397,-6.624047997430282,165.46153846153845,66.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,FGBL,17,1,1,10,7,0,0.5882352941176471,0.4117647058823529,0.5882352941176471,3.147597792093538,3.078831908940012,False,16.72956913494909,18914.767453914632,41.68309522932885,18.918325285593422,2.2033184544654767,47622.976091836535,22096.959171688075,2.1551823362580085,2.3418049078111176,119.11764705882354,107.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,FGBM,19,1,1,10,9,0,0.5263157894736842,0.47368421052631576,0.5263157894736842,3.9280243989077412,3.5858412155617523,False,20.123861137646823,24850.112313770802,51.29374379494627,14.50934181490812,3.5352219590169667,65474.3443559545,20287.923288655526,3.227257094005577,0.9442237053350807,117.84210526315789,44.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,FGBS,13,0,1,7,6,0,0.5384615384615384,0.46153846153846156,0.5384615384615384,5.012390052580317,3.9419064552603036,False,28.37399000753594,31017.009860069335,65.82751157669847,15.321785156487005,4.296334330783129,77183.18484219587,22843.52761907832,3.3787769616516883,7.592186131256306,165.46153846153845,87.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,FGBX,15,1,0,8,7,0,0.5333333333333333,0.4666666666666667,0.5333333333333333,3.926469948379919,4.169795818924013,False,16.762405418656446,22419.432238816476,42.16924462312817,12.273982243596958,3.4356612048324293,55297.9948191508,15156.067852994182,3.648571341558511,1.5243702433141564,120.26666666666667,44.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,FSMI,13,1,1,6,7,0,0.46153846153846156,0.5384615384615384,0.46153846153846156,5.101057681122869,3.9662410473967102,False,31.034561464476234,29180.789294814957,83.63769811852198,14.05384138184869,5.951233961310015,84539.91386255094,18269.8889061016,4.6272812219628285,-0.23001185681255445,145.23076923076923,66.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,GAS,19,1,1,11,8,0,0.5789473684210527,0.42105263157894735,0.5789473684210527,3.104147026517305,2.2593836197903245,False,16.604688200280354,14165.46035316013,42.31144342438387,18.742100232861983,2.2575614738307674,43895.85819673427,26713.836681754314,1.6431880871202362,7.003199187910834,131.78947368421052,66.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,GC,13,1,0,5,8,0,0.38461538461538464,0.6153846153846154,0.38461538461538464,3.7282521003354114,3.5831143431751507,False,20.980568911977702,28511.110586376497,74.54377484654376,12.496434797126085,5.965203360536658,102826.37345679669,17935.92870763612,5.732982949080241,-2.2300324294854383,115.61538461538461,43.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,GF,13,1,1,10,3,0,0.7692307692307693,0.23076923076923078,0.7692307692307693,11.303895177233475,10.247228623202178,False,37.99351079774237,37861.81439470317,54.185048752068404,15.978282383344398,3.3911685531700426,54543.07330347425,17742.381967867124,3.074168586960653,4.612144838295602,190.92307692307693,67.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,HE,10,1,1,6,4,0,0.6,0.4,0.6,1.678156405253447,1.4708079126386011,False,8.622161594326657,6805.597526230097,35.56046853538143,31.78529881725551,1.1187709368356313,35434.57399895954,36137.86718286407,0.980538608425734,5.342888787882893,189.1,107.5,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,HG,17,1,1,9,8,0,0.5294117647058824,0.47058823529411764,0.5294117647058824,5.084165123783305,3.658548257065966,False,30.607864124217542,27063.352939705113,71.97071072235804,15.9253382986905,4.519257887807382,70348.08071581225,21631.965808415414,3.2520428951697475,0.801513757888831,138.05882352941177,43.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,HO,19,1,1,13,6,0,0.6842105263157895,0.3157894736842105,0.6842105263157895,1.972492296561816,1.4799183388051813,False,12.413646077436987,9700.608729865586,36.79923189145353,40.42178985293219,0.9103810599516073,43719.94860308611,64007.96099544552,0.683039233294699,12.042230255856873,136.26315789473685,44.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,HTW,15,1,1,8,7,0,0.5333333333333333,0.4666666666666667,0.5333333333333333,1.1191251579830663,1.014608046477018,False,1.4897383682428658,237.25119773867584,26.24136635379473,26.79783647238783,0.9792345132351831,30896.966781374194,34802.423754987634,0.8877820406673906,0.6557018504165595,133.4,107.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,KC,19,1,1,3,16,0,0.15789473684210525,0.8421052631578947,0.15789473684210525,0.7845043985237911,0.9914411642755392,False,-2.753922454000333,-125.56474076979181,47.621414320733834,16.187345593929443,2.9418914944642163,92119.65579517854,17421.543591260102,5.287686209469543,-9.630315650304237,123.36842105263158,65.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,KE,14,1,1,5,9,0,0.35714285714285715,0.6428571428571429,0.35714285714285715,0.7974754785140047,0.6672643831262633,False,-3.43368812707869,-7587.8174572126945,37.85808145073439,26.37356011475262,1.4354558613252084,42606.27422700113,35473.42394844259,1.201075889627274,-8.694604729816824,169.57142857142858,108.5,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,LE,20,1,1,10,10,0,0.5,0.5,0.5,1.40844231271159,1.3037686819016037,False,3.2452244058650197,2916.372841183479,22.38118444252421,15.89073563079417,1.40844231271159,25034.019644691674,19201.273962324714,1.3037686819016037,0.06065981133720972,106.4,43.5,False,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,LFT,10,1,1,6,4,0,0.6,0.4,0.6,4.167410221345443,3.4254487014547244,False,12.69606682119294,14832.768977086447,27.84068315757417,10.020857683378903,2.778273480896962,34913.73864216323,15288.68552052875,2.2836324676364828,5.071872251739634,137.1,44.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,LLG,12,1,0,5,7,0,0.4166666666666667,0.5833333333333334,0.4166666666666667,2.138478303207946,2.3554080855390804,False,12.71497791697784,17796.629885413695,57.320100329589835,19.145823806316443,2.9938696244911243,74224.12725674931,22508.72537982603,3.297571319754712,-5.9819361904418455,190.0,129.5,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,NG,12,1,1,6,6,0,0.5,0.5,0.5,0.5433201612726479,0.7038650724298647,False,-15.589389315582256,-10338.043978200027,37.09394984761324,68.27272847877776,0.5433201612726479,49143.73412960913,69819.8220860092,0.7038650724298647,2.461735895219583,177.75,141.5,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,NKD,16,1,1,11,5,0,0.6875,0.3125,0.6875,5.185681416889617,3.773083448611833,False,24.1929552070156,25852.360472030814,43.59692727877061,18.495783350845397,2.3571279167680075,51163.58553719227,29832.334671324392,1.715037931187197,3.1842288948557633,101.5625,54.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,NQ,11,1,1,4,7,0,0.36363636363636365,0.6363636363636364,0.36363636363636365,1.7025476575771568,1.9973434167005264,False,6.618091143450672,10050.080149748228,44.10511158079079,14.803063392172248,2.9794584007600244,55349.0583010579,15835.05022242873,3.495350979225921,-8.22667827243461,109.27272727272727,46.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,PA,11,1,0,6,5,0,0.5454545454545454,0.45454545454545453,0.5454545454545454,4.253078920936905,2.978998914298746,False,23.518749073218114,24593.065986076617,56.3721365703551,15.905315923346272,3.544232434114087,67870.16403150828,27339.45166844139,2.4824990952489547,1.7484532784169875,148.0909090909091,64.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,PL,18,0,0,11,7,0,0.6111111111111112,0.3888888888888889,0.6111111111111112,1.8822428105875841,1.633043450114516,False,5.905585830018331,6206.507986728579,20.61723042417113,17.21271281793607,1.1977908794648262,26199.400811140204,25210.895023061115,1.039209468254692,2.4748513273652746,97.77777777777777,23.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,RB,15,1,0,7,8,0,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.612042246676562,0.6210501061636841,False,-6.192401060213349,-7863.660938412675,20.933857348871065,29.927877168162208,0.6994768533446424,27616.131955726647,38908.479720784584,0.7097715499013533,-1.4730237597122684,118.8,23.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,RS,12,1,0,7,5,0,0.5833333333333334,0.4166666666666667,0.5833333333333334,2.3281570648772574,1.8651869901469211,False,14.936610690253673,15036.512179639738,44.88467725922462,26.990682506305628,1.662969332055184,55570.29645755638,41710.78580944356,1.332276421533515,2.7487903150654804,152.25,97.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,RTY,11,1,1,7,4,0,0.6363636363636364,0.36363636363636365,0.6363636363636364,6.366819585566046,5.1284896164144955,False,17.682905927180588,15261.791325666722,32.96505686231646,9.060858209307172,3.638182620323455,29791.91637175762,10165.927504992358,2.930565495093998,2.202017810627001,128.63636363636363,44.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,SB,12,1,0,4,8,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,4.242940640138396,3.2685831419343527,False,22.600758604471412,22005.86859980146,70.96794260910819,11.94722997026915,5.9401168961937545,95118.41527783204,14550.404739213825,6.5371662838687055,-2.6376264882238067,143.0,66.0,True,directional episode v1
