Window,Strategy,CAGR,Volatility,Sharpe,Max drawdown
2005-2009,Walk-forward ML hybrid CTA,0.028063415779898238,0.10737750304381949,0.31148925740767525,-0.15208433737769855
2005-2009,Walk-forward ML-only CTA,-0.00038742447889961174,0.1103476933365004,0.05163939640087099,-0.191868024252978
2005-2009,12-month TSMOM CTA,0.040093196787784446,0.10652132624347023,0.4223660594747596,-0.14247410258155724
2010-2014,Walk-forward ML hybrid CTA,0.07967166810025694,0.10872461485522084,0.759556604232583,-0.1822348060657789
2010-2014,Walk-forward ML-only CTA,0.02106288201013573,0.09913759805778095,0.2599248438621136,-0.18848006725704547
2010-2014,12-month TSMOM CTA,0.09939614712104694,0.10731643847188299,0.9368080007906854,-0.20188417021031013
Global Financial Crisis 2008,Walk-forward ML hybrid CTA,0.14450148606602764,0.11864116560902645,1.1969775761039942,-0.11017805346977227
Global Financial Crisis 2008,Walk-forward ML-only CTA,0.08738585232239449,0.12298252097764777,0.7425809254392597,-0.11563771924441069
Global Financial Crisis 2008,12-month TSMOM CTA,0.1149306379627717,0.11064723959715447,1.0385567558549158,-0.10612162217712318
