Asset class,Annualized mean contribution,Annualized standalone volatility
Equity indices,0.03547821126293839,0.048474272197565345
Government bonds,0.013446614647428476,0.03865216323331072
FX,-0.00627897977599305,0.0336515112587383
Energy,0.02134922176182441,0.03783815314186017
Metals,0.032896886720324175,0.03775414972413461
Agriculture & livestock,0.015562239193157376,0.03438139503259689
