,Observed Sharpe difference,Bootstrap 5%,Bootstrap 50%,Bootstrap 95%,P(difference > 0),Months
1990-2004,0.03952788272434482,-0.23785406331844938,0.009959069673761811,0.26153567278555795,0.5245,180.0
2005-2014,0.11327083010882,-0.28130234757074624,0.130595173650699,0.5125174664661774,0.712,120.0
