Date,Robust Adaptive TSMOM,12-month TSMOM CTA
2005-01-03,0.9929023092072751,0.9935062144352141
2005-01-04,0.9731382970627505,0.973382020680711
2005-01-05,0.9701243662467223,0.9697719439017921
2005-01-06,0.9637911299364997,0.9631582911081958
2005-01-07,0.959125619431075,0.9586026346958861
2005-01-10,0.9641469330321787,0.9636477815945987
2005-01-11,0.9676712008006039,0.9668699888296273
2005-01-12,0.9792238744668794,0.9785027409688882
2005-01-13,0.974615124768155,0.9739749420327326
2005-01-14,0.9752011825705214,0.9754368573425173
2005-01-17,0.9752011825705214,0.9754368573425173
2005-01-18,0.9799084835972984,0.9805896656025321
2005-01-19,0.9712558136863927,0.9713036570911203
2005-01-20,0.9655674609408837,0.9656799637501599
2005-01-21,0.972411341896333,0.97220051382879
2005-01-24,0.9711895616514317,0.9705187147739464
2005-01-25,0.9620978346071984,0.9615587606102727
2005-01-26,0.9722273977673991,0.9715048665221595
2005-01-27,0.9737246475439044,0.9732882810830528
2005-01-28,0.9738779599763747,0.9738297703565459
2005-01-31,0.9762149519934415,0.9764670613090836
2005-02-01,0.9784905442970432,0.9784934643661244
2005-02-02,0.9798206043040802,0.9799256672903005
2005-02-03,0.9726056754517153,0.9732872436522211
2005-02-04,0.9775606784457483,0.9788813289077866
2005-02-07,0.9745210934340856,0.9765684271956473
2005-02-08,0.9748208104756456,0.9769284805929003
2005-02-09,0.9716097786099727,0.974535880796798
2005-02-10,0.9740546776874548,0.975566075489618
2005-02-11,0.9778673600386264,0.9789287270770559
2005-02-14,0.9821751313084264,0.9824789160447097
2005-02-15,0.9857312104560589,0.9853540867696423
2005-02-16,0.9835864736956963,0.9833729946030045
2005-02-17,0.9794084692208809,0.9788614847342788
2005-02-18,0.9772518418681162,0.9764392051167649
2005-02-21,0.9772518418681162,0.9764392051167649
2005-02-22,0.9745947799737706,0.9721175077612222
2005-02-23,0.9736959418968061,0.971410777407916
2005-02-24,0.9755791025188769,0.9734246537748618
2005-02-25,0.9781081793236455,0.9748843017976713
2005-02-28,0.9732923456519315,0.96906955421015
2005-03-01,0.9737667491496356,0.9691943430899136
2005-03-02,0.9696825537825516,0.965403925527374
2005-03-03,0.9678082764160965,0.9636286664111392
2005-03-04,0.9784781181288857,0.9744683058619574
2005-03-07,0.9812897268753042,0.9775237889294521
2005-03-08,0.9864692403861478,0.9828686346945709
2005-03-09,0.9880057676710514,0.9843693077237169
2005-03-10,0.9840647719105432,0.9803783220266274
2005-03-11,0.9835305628975811,0.9803147252032376
2005-03-14,0.979680295204289,0.9763208607312374
2005-03-15,0.972294054227374,0.9692588717552333
2005-03-16,0.9746642131749724,0.971905951026835
2005-03-17,0.9705286796225644,0.9677148579117936
2005-03-18,0.9726616695658975,0.9699028023832054
2005-03-21,0.9675803609994776,0.9644694235662674
2005-03-22,0.9648159658004966,0.9618231519317118
2005-03-23,0.9581774159151749,0.954798289029872
2005-03-24,0.958638907201901,0.9555992484767416
2005-03-25,0.958638907201901,0.9555992484767416
2005-03-28,0.9574645286498055,0.9543384720626693
2005-03-29,0.9542076486482562,0.9511796856131123
2005-03-30,0.9586445676637583,0.9557688977060756
2005-03-31,0.9584763474941356,0.9555357126850194
2005-04-01,0.9571065800065205,0.953501336470911
2005-04-04,0.9565428024765806,0.9527736634755316
2005-04-05,0.9570210522300966,0.9536571890188612
2005-04-06,0.9557811763985001,0.9525333565966647
2005-04-07,0.954243142269682,0.9507621128663601
2005-04-08,0.9575412640198728,0.9540402470538522
2005-04-11,0.9587770149415117,0.955461335160814
2005-04-12,0.9578269576561674,0.9546868790254845
2005-04-13,0.9540741564091557,0.9507294715778769
2005-04-14,0.9482875510034565,0.94372951339372
2005-04-15,0.9519164606077115,0.947709785130707
2005-04-18,0.9592470591357269,0.9557079657612013
2005-04-19,0.9593548722686059,0.9568561104263436
2005-04-20,0.9616829693466572,0.9591250199516594
2005-04-21,0.9608352091751293,0.9582543996908088
2005-04-22,0.9640491053273734,0.9616387145501376
2005-04-25,0.9599878405488177,0.9573467675468383
2005-04-26,0.958677157617244,0.9557508310931508
2005-04-27,0.958379638679023,0.9551831720540347
2005-04-28,0.9589572141872341,0.9553802796497765
2005-04-29,0.9605085280759291,0.9570867336797888
2005-05-02,0.9594872416490681,0.9563484177791771
2005-05-03,0.9558892672010548,0.9525230129083011
2005-05-04,0.968887368534096,0.965644647856226
2005-05-05,0.9751592522339517,0.9719213233716935
2005-05-06,0.9482087941456805,0.9449892923077907
2005-05-09,0.9476925347003469,0.9448319329811006
2005-05-10,0.9571749319207375,0.9542394648730782
2005-05-11,0.9527557796226034,0.9494697441936453
2005-05-12,0.9421956864006167,0.9381834118162636
2005-05-13,0.9372330373492267,0.9328606474367792
2005-05-16,0.9341019328896508,0.9302084118019087
2005-05-17,0.9362686496667453,0.9326264431072876
2005-05-18,0.9468945905758276,0.9431813361970443
2005-05-19,0.9359967026028112,0.9320257835101904
2005-05-20,0.9223105445785411,0.9182698975497443
2005-05-23,0.9254303183100947,0.9214745118158538
2005-05-24,0.933582909920993,0.9295559209573796
2005-05-25,0.9319065728400495,0.9281243405848502
2005-05-26,0.9229691116734561,0.9193123574142946
2005-05-27,0.9324938811294601,0.9289156324808552
2005-05-30,0.9324938811294601,0.9289156324808552
2005-05-31,0.9285611985341192,0.9249436261540293
2005-06-01,0.9402551912667017,0.9352780512258375
2005-06-02,0.9522269484084807,0.9459896519305383
2005-06-03,0.9417297176898852,0.9365027714030656
2005-06-06,0.9434491142790667,0.9371932501604929
2005-06-07,0.94790338767994,0.940843844498001
2005-06-08,0.9429469311111567,0.9365733519212969
2005-06-09,0.9402592154147641,0.9352276161236769
2005-06-10,0.9347495218010926,0.9305991938644722
2005-06-13,0.9284973486957282,0.925830797361669
2005-06-14,0.9235410322083659,0.9214295700566316
2005-06-15,0.9275480292008249,0.9242366603412961
2005-06-16,0.9369642160150808,0.9326360804577865
2005-06-17,0.9382104347907771,0.9334831346617016
2005-06-20,0.9297576866536613,0.9263654038047664
2005-06-21,0.9386594948727727,0.9338431784644651
2005-06-22,0.948562659981508,0.9424832566761684
2005-06-23,0.9435912982353393,0.937681822869889
2005-06-24,0.9437042128346312,0.93713504696768
2005-06-27,0.9576863811555693,0.9499581747879866
2005-06-28,0.951083587839635,0.9449641591321006
2005-06-29,0.9474302449169836,0.9417324725726014
2005-06-30,0.9490541961477041,0.9431353865824859
2005-07-01,0.9391124124150066,0.933965434805873
2005-07-04,0.9391124124150066,0.933965434805873
2005-07-05,0.9326719511933669,0.928429994216124
2005-07-06,0.9365462923906943,0.9319698531792836
2005-07-07,0.9419757832223175,0.9369277049884767
2005-07-08,0.9498450168128401,0.9449582308170936
2005-07-11,0.9507017153129407,0.9459269300492819
2005-07-12,0.9447168217643844,0.9399953575248866
2005-07-13,0.9454437498863093,0.9407985230010778
2005-07-14,0.9404520374178037,0.9357821705592162
2005-07-15,0.9395822505956635,0.9354183495285371
2005-07-18,0.9380878764808009,0.9335476871527779
2005-07-19,0.9498275555530138,0.9455267712168791
2005-07-20,0.9547799411062667,0.9507927612840443
2005-07-21,0.9496564916122173,0.9452311185779025
2005-07-22,0.9608069693088868,0.956867150570417
