,Observed Sharpe difference,Bootstrap 5%,Bootstrap 50%,Bootstrap 95%,P(difference > 0),Months
1990-2004,0.32629286131537305,0.014253447741280548,0.33095664640054767,0.6530269661283197,0.9575,180.0
2005-2014,0.384782937250414,0.09059228458087942,0.4114602269852154,0.7248418820210095,0.979,120.0
