Selection window,Window,CAGR,Sharpe,Max drawdown
36m,1992-2004,0.16257853211421325,1.4809233038767649,-0.11070318676773017
36m,2005-2014,0.08236598909691994,0.7616964314645834,-0.2203122885230917
60m,1992-2004,0.1833008760622199,1.660959796560235,-0.11919695845034972
60m,2005-2014,0.06737232696576312,0.6512040737004536,-0.24369707482808622
120m,1992-2004,0.17703210355071586,1.5767909505613797,-0.12221876955899891
120m,2005-2014,0.09362697774341333,0.8904063331475995,-0.20425849771932258
